say ^vb+vpub+++=say
at ^rb++++=at
present ^vb++++=present.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
a ^at++++=a
word ^nn++++=word!
! ^zz++++=EXTRAWORD
Put ^j+++xvbn+=Put
on ^in++++=on
your ^pp$+pp2+++=your
best ^jjt+atrb+++=best
hat ^nn++++=hat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
come ^vb++++=come
with ^in++++=with
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Madam ^npt++++=Madam
Le ^&fw++++=Le
Baron ^npt++++=Baron
waits ^nns+++??+=waits
for ^in++++=for
us ^pp1o+pp1+++=us!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
as ^cs+sub+++=as
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
said ^vprf+++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
Sultan ^npt++++=Sultan
is ^vbz+bez+vrb++=is
on ^in++++=on
the ^ati++++=the
front ^jjb+atrb+++=front
door ^nn++++=door-step."
- ^zz++++=EXTRAWORD
step ^vb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
flew ^vbd+++xvbnx+=flew
up ^rp++++=up-stairs,
- ^zz++++=EXTRAWORD
stairs ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
made ^vbd+++xvbn+=made
myself ^ppl+pp1+++=myself
as ^in++++=as
smart ^jj++++=smart
as ^ql++++=as
I ^pp1a+pp1+++=I
could ^md+pos+++=could
in ^in++++=in
such ^abl++++=such
a ^at++++=a
hurry ^nn++++=hurry.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
cheeks ^nns++++=cheeks
were ^vbd+bed+vrb++=were
as ^ql++++=as
pink ^np++++=pink
as ^ql++++=as
Miss ^npt++++=Miss
Persis ^np++++=Persis's
's ^$++++=EXTRAWORD
own ^ap++++=own,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
though ^cs+sub+++=though
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
not ^xnot++not++=not
the ^ati++++=the
faintest ^jjt+atrb+++=faintest
idea ^nn++++=idea
what ^wdt+who+++=what
was ^vbd+bedz+vrb++=was
the ^ati++++=the
matter ^nn++++=matter,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
that ^tht+vcmp+++=that
it ^pp3+it+++=it
must ^md+nec+++=must
be ^vb+be+vrb++=be
something ^pn++++=something
of ^in++++=of
vital ^jj+atrb+++=vital
import ^nn++++=import.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
way ^nn++++=way,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
begged ^vbd+++xvbnx+=begged
my ^pp$+pp1+++=my
companion ^nn++++=companion
to ^to++++=to
explain ^vbi+vpub+++=explain
matters ^nns+nom+++=matters
to ^in++++=to
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
only ^rb+down+++=only
shook ^vbd+++xvbn+=shook
her ^pp$+pp3+++=her
head ^jjb++++=head
and ^cc+phrs+++=and
trotted ^jj+++xvbn+=trotted
on ^in++++=on
the ^ati++++=the
