B.c ^rb++++=B.C.
clung ^vbd+++xvbn+=clung
to ^in++++=to
the ^ati++++=the
rocks ^nns++++=rocks
and ^cc++++=and
tufts ^nns++++=tufts
of ^in++++=of
grass ^nn++++=grass,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^rb++++=at
length ^rb"++++=length
he ^pp3a+pp3+++=he
stood ^vbd+++xvbnx+=stood
on ^in++++=on
the ^ati++++=the
top ^nn++++=top
of ^in++++=of
the ^ati++++=the
rampart ^nn+++??+=rampart,
, ^zz++++=EXTRAWORD
calling ^vbg+nom++xvbg+=calling
out ^rp+pl+++=out
his ^pp$+pp3+++=his
name ^nn++++=name
to ^in++++=to
the ^ati++++=the
soldiers ^nns+nom+++=soldiers
who ^whp+rel+subj++=who
came ^vbd+++xvbn+=came
in ^in++++=in
haste ^nn++++=haste
around ^rp++++=around
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
knowing ^vbg+vprv++xvbg+=knowing
whether ^cs+who+++=whether
he ^pp3a+pp3+++=he
were ^vbd+bed+vrb++=were
friend ^nn++++=friend
or ^cc++++=or
foe ^nn++++=foe.
. ^zz++++=EXTRAWORD
A ^at++++=A
joyful ^jj+atrb+++=joyful
sound ^nn++++=sound
must ^md+nec+++=must
his ^pp$+pp3+++=his
Latin ^jj+atrb+++=Latin
speech ^nn++++=speech
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
to ^in++++=to
the ^ati++++=the
long ^jj++++=long-tried,
- ^zz++++=EXTRAWORD
tried ^vbd+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
half ^abn++++=half
starved ^vprf+++xvbn+=starved
garrison ^nn++++=garrison,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
not ^xnot++not++=not
seen ^vprf+++xvbn+=seen
a ^at++++=a
fresh ^jj+atrb+++=fresh
face ^nn++++=face
for ^in++++=for
six ^cd++++=six
long ^jj+atrb+++=long
months ^nns++++=months!
! ^zz++++=EXTRAWORD
The ^ati++++=The
few ^ap++++=few
who ^whp+rel+subj++=who
represented ^vbd+++xvbn+=represented
the ^ati++++=the
Senate ^np++++=Senate
and ^cc++++=and
people ^nns++++=people
of ^in++++=of
Rome ^np++++=Rome
were ^vbd+bed+aux++=were
hastily ^rb++splt++=hastily
awakened ^vpsv++agls+xvbnx+=awakened
from ^in++++=from
their ^pp$+pp3+++=their
sleep ^nn++++=sleep,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
gathered ^vbd+++xvbn+=gathered
together ^nn+nom+++=together
to ^to++++=to
hear ^vbi+vprv+tht0++=hear
the ^ati++++=the
tidings ^nns++++=tidings
brought ^vbd+++xvbn+=brought
them ^pp3o+pp3+++=them
at ^rb++++=at
so ^ql++++=so
much ^ap++++=much
risk ^vb++++=risk.
. ^zz++++=EXTRAWORD
Pontius ^np++++=Pontius
told ^vbd+vpub++xvbn+=told
them ^pp3o+pp3+++=them
of ^in++++=of
the ^ati++++=the
victory ^nn++++=victory
at ^in++++=at
Ardea ^np+++??+=Ardea,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
Camillus ^np+++??+=Camillus
and ^cc++++=and
the ^ati++++=the
Romans ^nn++++=Romans
collected ^vwbn+++xvbn+=collected
at ^rb++++=at
Veii ^np+++??+=Veii
were ^vbd+bed+aux++=were
only ^rb+down+splt++=only
waiting ^vbg+++xvbgx+=waiting
to ^to+vcmp+++=to
march ^vb++++=march
to ^in++++=to
their ^pp$+pp3+++=their
succor ^vb++++=succor
till ^cs+sub+++=till
they ^pp3a+pp3+++=they
should ^md+nec+++=should
give ^vb++++=give
him ^pp3o+pp3+++=him
lawful ^jj+atrb+++=lawful
power ^nn++++=power
to ^to+ncmp+++=to
take ^vbi++++=take
the ^ati++++=the
command ^nn++++=command.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+aux++=was
little ^ap++++=little
debate ^vb++++=debate.
. ^zz++++=EXTRAWORD
The ^ati++++=The
vote ^nn++++=vote
was ^vbd+bedz+aux++=was
passed ^vpsv++agls+xvbnx+=passed
at ^rb++++=at
once ^rb"+tm+++=once
to ^to++++=to
make ^vbi++++=make
Camillus ^np+++??+=Camillus
Dictator ^nn++++=Dictator,
, ^zz++++=EXTRAWORD
an ^at++++=an
office ^nn++++=office
to ^to++++=to
which ^whp+who+++=which
Romans ^nn++++=Romans
were ^vbd+bed+aux++=were
elected ^vpsv++agls+xvbnx+=elected
upon ^in++++=upon
great ^jj+atrb+++=great
emergencies ^nns+++??+=emergencies,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
which ^whp+rel+subj++=which
gave ^vbd+++xvbn+=gave
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
time ^nn++++=time,
, ^zz++++=EXTRAWORD
absolute ^jj+atrb+++=absolute
kingly ^jj+atrb+++=kingly
control ^nn++++=control;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
Pontius ^np++++=Pontius,
, ^zz++++=EXTRAWORD
bearing ^vbg+++xvbg+=bearing
the ^ati++++=the
appointment ^nn+nom+++=appointment,
, ^zz++++=EXTRAWORD
set ^j+++xvbn+=set
off ^in+pl+++=off
once ^rb+tm+++=once
again ^rb+tm+++=again
upon ^in++++=upon
his ^pp$+pp3+++=his
mission ^nn++++=mission,
, ^zz++++=EXTRAWORD
still ^rb++++=still
under ^in++++=under
shelter ^nn++++=shelter
of ^in++++=of
night ^nn++++=night,
, ^zz++++=EXTRAWORD
clambered ^j+++xvbn+=clambered
down ^in++++=down
the ^ati++++=the
rock ^nn++++=rock,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
crossed ^vbd+++xvbn+=crossed
the ^ati++++=the
Gallic ^np+++??+=Gallic
camp ^nn++++=camp
before ^cs+sub+++=before
the ^ati++++=the
barbarians ^nps++++=barbarians
were ^vbd+bed+vrb++=were
yet ^rb++++=yet
awake ^jj+pred+++=awake.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
hope ^nn++++=hope
in ^in++++=in
the ^ati++++=the
little ^jj+atrb+++=little
garrison ^nn++++=garrison;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
danger ^nn++++=danger
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
over ^rb++++=over.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sharp ^jj++++=sharp-eyed
- ^zz++++=EXTRAWORD
eyed ^vbd+++xvbn+=EXTRAWORD
Gauls ^np+++??+=Gauls
observed ^vbd+vprv++xvbn+=observed
that ^tht+vcmp+++=that
the ^ati++++=the
shrubs ^nns++++=shrubs
and ^cc++++=and
creepers ^nns+nom+++=creepers
were ^vbd+bed+aux++=were
broken ^vpsv++agls+xvbnx+=broken,
, ^zz++++=EXTRAWORD
the ^ati++++=the
moss ^np++++=moss
frayed ^jj++++=frayed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fresh ^jj+atrb+++=fresh
stones ^nns++++=stones
and ^cc++++=and
earth ^nn++++=earth
rolled ^vbd+++xvbn+=rolled
down ^rp++++=down
at ^rb++++=at
the ^ati++++=the
crag ^npl++++=crag
of ^in++++=of
the ^ati++++=the
Capitol ^np++++=Capitol:
: ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
sure ^jj+pred+++=sure
that ^tht+jcmp+++=that
the ^ati++++=the
rock ^npl++++=rock
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
climbed ^vpsv++agls+xvbnx+=climbed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
it ^pp3+it+++=it
might ^md+pos+++=might
be ^vb+be+aux++=be
climbed ^vpsv++agls+xvbnx+=climbed
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Should ^md+nec+++=Should
they ^pp3a+pp3+++=they,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
were ^vbd+bed+aux++=were
used ^vpsv++++=used
to ^to++++=to
the ^ati++++=the
snowy ^jj+atrb+++=snowy
peaks ^nns++++=peaks,
, ^zz++++=EXTRAWORD
dark ^jj+atrb+++=dark
abysses ^nns+++??+=abysses,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
huge ^jj+atrb+++=huge
glaciers ^nns+nom+++=glaciers
of ^in++++=of
the ^ati++++=the
Alps ^nps++++=Alps,
, ^zz++++=EXTRAWORD
be ^vb+be+vrb++=be
afraid ^jj+pred+++=afraid
to ^to+jcmp+++=to
climb ^vbi++++=climb
where ^wrb+who+++=where
a ^at++++=a
soft ^jj+atrb+++=soft
dweller ^nn++++=dweller
in ^in++++=in
a ^at++++=a
tame ^jj+atrb+++=tame
Italian ^jj+atrb+++=Italian
town ^nn++++=town
could ^md+pos+++=could
venture ^vb++++=venture
a ^at++++=a
passage ^nn+nom+++=passage?
? ^zz++++=EXTRAWORD
Brennus ^np+++??+=Brennus
chose ^vbd+++xvbn+=chose
out ^rp+pl+++=out
the ^ati++++=the
hardiest ^nn++++=hardiest
of ^in++++=of
his ^pp$+pp3+++=his
mountaineers ^nns+nom+++=mountaineers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
directed ^vbd+++xvbn+=directed
them ^pp3o+pp3+++=them
to ^to++++=to
climb ^vbi++++=climb
up ^rp++++=up
in ^in++++=in
the ^ati++++=the
dead ^nn++++=dead
of ^in++++=of
night ^nn++++=night,
, ^zz++++=EXTRAWORD
one ^pn++++=one
by ^in++++=by
one ^pn++++=one,
, ^zz++++=EXTRAWORD
in ^in++++=in
perfect ^nn++++=perfect
silence ^nn+nom+++=silence,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thus ^rb+cnj+++=thus
to ^in++++=to
surprise ^nn++++=surprise
the ^ati++++=the
Romans ^nn++++=Romans,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
complete ^vb++++=complete
the ^ati++++=the
slaughter ^nn+nom+++=slaughter
and ^cc++++=and
victory ^nn++++=victory,
, ^zz++++=EXTRAWORD
before ^cs+sub+++=before
the ^ati++++=the
forces ^nns++++=forces
assembling ^vwbg+++xvbg+=assembling
at ^in++++=at
Veii ^np+++??+=Veii
would ^md+prd+++=would
come ^vb++++=come
to ^in++++=to
their ^pp$+pp3+++=their
rescue ^nn++++=rescue.
. ^zz++++=EXTRAWORD
Silently ^rb++++=Silently
the ^ati++++=the
Gauls ^np+++??+=Gauls
climbed ^vbd+++xvbn+=climbed,
, ^zz++++=EXTRAWORD
so ^ql+emph+++=so
stilly ^jj++++=stilly
that ^dt+dem+++=that
not ^xnot++not++=not
even ^rb++++=even
a ^at++++=a
dog ^nn++++=dog
heard ^vbd+vprv++xvbn+=heard
them ^pp3o+pp3+++=them;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
sentinel ^nn++++=sentinel
nearest ^jjt++++=nearest
to ^in++++=to
the ^ati++++=the
post ^nn++++=post,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
fallen ^vprf+++xvbn+=fallen
into ^in+ppvb+++=into
a ^at++++=a
dead ^jj+atrb+++=dead
sleep ^nn++++=sleep
of ^in++++=of
exhaustion ^nn+nom+++=exhaustion
from ^in++++=from
hunger ^nn++++=hunger,
, ^zz++++=EXTRAWORD
never ^rb++++=never
awoke ^vbd+++xvbn+=awoke.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
fatal ^jj+atrb+++=fatal
stillness ^nns+nom+++=stillness
was ^vbd+bedz+aux++=was
suddenly ^rb++splt++=suddenly
broken ^vpsv++by+xvbnx+=broken
by ^in++++=by
loud ^jj+atrb+++=loud
gabbling ^nn+nom+++=gabbling,
, ^zz++++=EXTRAWORD
cackling ^nn+nom+++=cackling,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
flapping ^nvbg+++xvbg+=flapping
of ^in++++=of
heavy ^jj+atrb+++=heavy
wings ^nns++++=wings.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sacred ^jj+atrb+++=sacred
geese ^nns++++=geese
of ^in++++=of
Juno ^np++++=Juno,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
so ^ql+emph+++=so
religiously ^jj++++=religiously
spared ^jj+++xvbn+=spared
in ^in++++=in
the ^ati++++=the
famine ^nn++++=famine,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
frightened ^vpsv++by+xvbnx+=frightened
by ^in++++=by
the ^ati++++=the
rustling ^nn++++=rustling
beneath ^in+strn+++=beneath,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
proclaimed ^vbd+++xvbn+=proclaimed
their ^pp$+pp3+++=their
terror ^nn++++=terror
in ^in++++=in
their ^pp$+pp3+++=their
own ^ap++++=own
noisy ^jj+atrb+++=noisy
fashion ^nn++++=fashion.
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^rb++++=first
to ^to++++=to
take ^vbi++++=take
the ^ati++++=the
alarm ^nn++++=alarm
was ^vbd+bedz+vrb++=was
Marcus ^np++++=Marcus
Manlius ^np+++??+=Manlius,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
started ^vbd+++xvbn+=started
forward ^rb++++=forward
just ^rb+emph+++=just
in ^in++++=in
time ^nn++++=time
to ^to++++=to
meet ^vbi++++=meet
the ^ati++++=the
foremost ^jj+atrb+++=foremost
climbers ^nns+nom+++=climbers
as ^ql++++=as
they ^pp3a+pp3+++=they
set ^vbd+++xvbnx+=set
foot ^nn++++=foot
on ^in++++=on
the ^ati++++=the
rampart ^nn+++??+=rampart.
. ^zz++++=EXTRAWORD
One ^pn++++=One,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
raised ^vbd+++xvbn+=raised
an ^at++++=an
axe ^nn++++=axe
to ^to++++=to
strike ^vbi++++=strike,
, ^zz++++=EXTRAWORD
lost ^j+++xvbn+=lost
his ^pp$+pp3+++=his
arm ^nn++++=arm
by ^in++++=by
one ^cd1++++=one
stroke ^nn++++=stroke
of ^in++++=of
Manlius ^np+++??+=Manlius'
' ^zz++++=EXTRAWORD
short ^jj+atrb+++=short
Roman ^jj+atrb+++=Roman
sword ^nn++++=sword;
; ^zz++++=EXTRAWORD
the ^ati++++=the
next ^ap++++=next
was ^vbd+bedz+vrb++=was
by ^in++++=by
main ^jjb+atrb+++=main
strength ^nn++++=strength
hurled ^vwbn+++xvbn+=hurled
backwards ^rb++++=backwards
over ^in++++=over
the ^ati++++=the
precipice ^nn++++=precipice,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Manlius ^np+++??+=Manlius
stood ^vbd+++xvbn+=stood
along ^in++++=along
on ^in++++=on
the ^ati++++=the
top ^jjb++++=top,
, ^zz++++=EXTRAWORD
for ^in++++=for
a ^ap++++=a
few ^ap"++++=few
moments ^nns+nom+++=moments,
, ^zz++++=EXTRAWORD
ready ^jj++++=ready
to ^to+jcmp+++=to
strike ^vbi++++=strike
the ^ati++++=the
next ^ap++++=next
who ^whp+rel+subj++=who
should ^md+nec+++=should
struggle ^vb++++=struggle
up ^rp++++=up.
. ^zz++++=EXTRAWORD
The ^ati++++=The
whole ^nn++++=whole
of ^in++++=of
the ^ati++++=the
garrison ^nn++++=garrison
were ^vbd+bed+vrb++=were
in ^in++++=in
a ^ap++++=a
few ^ap"++++=few
moments ^nns+nom+++=moments
on ^in++++=on
the ^ati++++=the
alert ^nn++++=alert,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
attack ^nn++++=attack
was ^vbd+bedz+aux++=was
entirely ^rb+amp+splt++=entirely
repulsed ^vpsv++agls+xvbnx+=repulsed;
; ^zz++++=EXTRAWORD
the ^ati++++=the
sleeping ^jj+atrb++xvbg+=sleeping
sentry ^nn++++=sentry
was ^vbd+bedz+aux++=was
cast ^vpsv++agls+xvbnx+=cast
headlong ^jjb++++=headlong
down ^in++++=down
the ^ati++++=the
rock ^nn++++=rock;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Manlius ^np+++??+=Manlius
was ^vbd+bedz+aux++=was
brought ^vpsv++agls+xvbnx+=brought,
, ^zz++++=EXTRAWORD
by ^in++++=by
each ^dt++++=each
grateful ^jj+atrb+++=grateful
soldier ^nn++++=soldier,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
then ^rn+tm+++=then
most ^ql+emph+++=most
valuable ^jj++++=valuable
to ^in++++=to
all ^abn++++=all,
, ^zz++++=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little
meal ^nn++++=meal
and ^cc++++=and
a ^at++++=a
small ^jj+atrb+++=small
measure ^nn++++=measure
of ^in++++=of
wine ^nn++++=wine.
. ^zz++++=EXTRAWORD
Still ^rb+cnj+++=Still,
, ^zz++++=EXTRAWORD
the ^ati++++=the
condition ^nn+nom+++=condition
of ^in++++=of
the ^ati++++=the
Capitol ^np++++=Capitol
was ^vbd+bedz+vrb++=was
lamentable ^jj+pred+++=lamentable;
; ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
certainty ^nn++++=certainty
that ^tht+ncmp+++=that
Pontius ^np++++=Pontius
had ^vb+hv+aux++=had
ever ^rb++splt++=ever
reached ^vprf+++xvbnx+=reached
Camillus ^np+++??+=Camillus
in ^in++++=in
safety ^nn++++=safety;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
the ^ati++++=the
discovery ^nn+nom+++=discovery
of ^in++++=of
his ^pp$+pp3+++=his
path ^nn++++=path
by ^in++++=by
the ^ati++++=the
enemy ^nn++++=enemy
would ^md+prd+++=would
rather ^rb++++=rather
have ^vb+hv+aux++=have
led ^vprf+++xvbnx+=led
to ^in++++=to
the ^ati++++=the
supposition ^nn+nom+++=supposition
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
seized ^vpsv++agls+xvbnx+=seized
and ^cc+phrs+++=and
detected ^vpsv++agls+xvbn+=detected.
. ^zz++++=EXTRAWORD
The ^ati++++=The
best ^nn++++=best
hope ^vb++++=hope
lay ^jjb+++xvbn+=lay
in ^in++++=in
wearying ^xvbg+++xvbg+=wearying
out ^rp+pl+++=out
the ^ati++++=the
besiegers ^nns+nom+++=besiegers;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
seemed ^vprf+++xvbn+=seemed
to ^to+vcmp+++=to
be ^vbi++vrb++=be
more ^rbr++++=more
chance ^nn++++=chance
of ^in++++=of
this ^dt+dem+++=this
since ^cs+sub+++=since
the ^ati++++=the
Gauls ^np+++??+=Gauls
often ^rb++++=often
could ^md+pos+++=could
be ^vb+be+aux++=be
seen ^vpsv++agls+xvbnx+=seen
from ^in++++=from
the ^ati++++=the
heights ^nns++++=heights,
, ^zz++++=EXTRAWORD
burying ^vbg+++xvbg+=burying
the ^ati++++=the
corpses ^nns++++=corpses
of ^in++++=of
their ^pp$+pp3+++=their
dead ^jj++++=dead;
; ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
tall ^jj++++=tall,
, ^zz++++=EXTRAWORD
bony ^jj++++=bony
forms ^vbz++++=forms
looked ^vbd+++xvbn+=looked
gaunt ^np++++=gaunt
and ^cc++++=and
drooping ^jj++++=drooping,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
here ^rn+pl+++=here
and ^cc++++=and
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
unburied ^jj+atrb+++=unburied
carcasses ^nns++++=carcasses
lay ^vbd+++xvbn+=lay
amongst ^in++++=amongst
the ^ati++++=the
ruins ^nns++++=ruins.
. ^zz++++=EXTRAWORD
Nor ^cc+cls+neg++=Nor
were ^vbd+bed+vrb++=were
the ^ati++++=the
flocks ^nns++++=flocks
and ^cc++++=and
herds ^nns++++=herds
any ^dti++++=any
longer ^rbr++++=longer
driven ^vbd+++xvbn+=driven
in ^in++++=in
from ^in++++=from
the ^ati++++=the
country ^nn++++=country.
. ^zz++++=EXTRAWORD
Either ^dtx++++=Either
all ^abn++++=all
must ^md+nec+++=must
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
exhausted ^vpsv++agls+xvbnx+=exhausted,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
else ^rb+cnj+++=else
Camillus ^np+++??+=Camillus
and ^cc++++=and
his ^pp$+pp3+++=his
friends ^nns++++=friends
must ^md+nec+++=must
be ^vb+be+vrb++=be
near ^in+strn+++=near,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
preventing ^vbg+++xvbg+=preventing
their ^pp$+pp3+++=their
raids ^nns++++=raids.
. ^zz++++=EXTRAWORD
At ^rb++++=At
any ^dti++++=any
rate ^nn++++=rate,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
appeared ^vbd+seem++xvbn+=appeared
as ^cs+sub+++=as
if ^cs+cnd+++=if
the ^ati++++=the
enemy ^nn++++=enemy
was ^vbd+bedz+vrb++=was
quite ^abl++++=quite
as ^ql++++=as
ill ^jj++++=ill
off ^in+pl+++=off
as ^in++++=as
to ^in++++=to
provisions ^nns++++=provisions
as ^in++++=as
the ^ati++++=the
garrison ^nn++++=garrison,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
worse ^jjr+atrb+++=worse
condition ^nn+nom+++=condition
as ^in++++=as
to ^in++++=to
health ^nn++++=health.
. ^zz++++=EXTRAWORD
In ^in++++=In
effect ^nn++++=effect,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
the ^ati++++=the
first ^od++++=first
example ^nn++++=example
of ^in++++=of
the ^ati++++=the
famous ^jj+atrb+++=famous
saying ^nvbg+++xvbg+=saying,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
Rome ^np++++=Rome
destroys ^vbz++++=destroys
her ^pp$+pp3+++=her
conquerors ^nns++++=conquerors.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
state ^nn++++=state
of ^in++++=of
things ^nns++++=things
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
Romans ^nn++++=Romans
had ^vb+hv+vrb++=had
a ^at++++=a
dream ^vb++++=dream
that ^tht+vcmp+obj++=that
Jupiter ^np+++??+=Jupiter,
, ^zz++++=EXTRAWORD
the ^ati++++=the
special ^jj+atrb+++=special
god ^nn++++=god
of ^in++++=of
the ^ati++++=the
Capitol ^np++++=Capitol,
, ^zz++++=EXTRAWORD
appeared ^vb+++xvbn+=appeared
to ^to+vcmp+++=to
him ^vbi++++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
gave ^vbd+++xvbn+=gave
the ^ati++++=the
strange ^jj+atrb+++=strange
advice ^nn++++=advice
that ^tht+rel+++=that
all ^abn++++=all
the ^ati++++=the
remaining ^jj+atrb++xvbg+=remaining
flour ^nn++++=flour
should ^md+nec+++=should
be ^vb+be+aux++=be
baked ^vpsv++agls+xvbnx+=baked,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
loaves ^nns++++=loaves
thrown ^vwbn+++xvbn+=thrown
down ^rp++++=down
into ^in++++=into
the ^ati++++=the
enemy ^nn++++=enemy's
's ^$++++=EXTRAWORD
camp ^nn++++=camp.
. ^zz++++=EXTRAWORD
Telling ^vbg+nom++xvbg+=Telling
the ^ati++++=the
dream ^nn++++=dream,
, ^zz++++=EXTRAWORD
which ^wdtr+who+whq++=which
may ^md+pos+++=may,
, ^zz++++=EXTRAWORD
perhaps ^rb+cnj+++=perhaps,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
the ^ati++++=the
shaping ^jj+++xvbg+=shaping
of ^in++++=of
his ^pp$+pp3+++=his
own ^ap++++=own
thoughts ^nns++++=thoughts,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
this ^dt+dem+++=this
apparent ^jj+atrb+++=apparent
waste ^nn++++=waste
would ^md+prd+++=would
persuade ^vb++++=persuade
the ^ati++++=the
barbarians ^nps++++=barbarians
that ^tht+rel+obj++=that
the ^ati++++=the
garrison ^nn++++=garrison
could ^md+pos+++=could
not ^xnot++not++=not
soon ^rb+tm+++=soon
be ^vb+be+aux++=be
starved ^vprf+++xvbn+=starved
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
person ^nn++++=person
obtained ^vwbn+++xvbn+=obtained
the ^ati++++=the
consent ^nn++++=consent
of ^in++++=of
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
the ^ati++++=the
besieged ^nn++++=besieged.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
approved ^jj+++xvbn+=approved
the ^ati++++=the
stratagem ^nn+++??+=stratagem,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
one ^cd1++++=one
chose ^vbd+++xvbn+=chose
to ^in++++=to
act ^nn++++=act
contrary ^in+cmpx+++=contrary
to ^in++++=to
Jupiter ^np++++=Jupiter's
's ^$++++=EXTRAWORD
supposed ^jj+atrb++xvbn+=supposed
advice ^nn++++=advice;
; ^zz++++=EXTRAWORD
so ^cs+sub+++=so
the ^ati++++=the
bread ^nn++++=bread
was ^vbd+bedz+aux++=was
baked ^vpsv++agls+xvbnx+=baked,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tossed ^vbd+++xvbn+=tossed
down ^rp++++=down
by ^in++++=by
the ^ati++++=the
hungry ^jj+atrb+++=hungry
men ^nns++++=men.
. ^zz++++=EXTRAWORD
After ^in++++=After
a ^at++++=a
time ^nn++++=time,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
report ^nn++++=report
from ^in++++=from
the ^ati++++=the
outer ^jjb+atrb+++=outer
guards ^nns++++=guards
that ^tht+rel+obj++=that
the ^ati++++=the
Gallic ^np+++??+=Gallic
watch ^vb++++=watch
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
telling ^nvbg+++xvbg+=telling
them ^pp3o+pp3+++=them
that ^cs+sub+++=that
their ^pp$+pp3+++=their
leader ^nn++++=leader
would ^md+prd+++=would
be ^vb+be+vrb++=be
willing ^jj+pred+++=willing
to ^to+jcmp+++=to
speak ^vbi++++=speak
with ^in++++=with
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
Roman ^jj+atrb+++=Roman
chiefs ^nns++++=chiefs.
. ^zz++++=EXTRAWORD
Accordingly ^rb+cnj+++=Accordingly,
, ^zz++++=EXTRAWORD
Sulpitius ^np+++??+=Sulpitius,
, ^zz++++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
tribunes ^nns+++??+=tribunes,
, ^zz++++=EXTRAWORD
went ^j+++xvbn+=went
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+vrb++=had
a ^at++++=a
conference ^nn+nom+++=conference
with ^in++++=with
Brennus ^np+++??+=Brennus,
, ^zz++++=EXTRAWORD
