B.c ^rb++++=B.C.
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
the ^ati++++=the
Clusians ^np+++??+=Clusians
possessed ^vbd+++xvbn+=possessed
land ^nn++++=land
that ^tht+rel+obj++=that
the ^ati++++=the
Gauls ^np+++??+=Gauls
wanted ^vbd+++xvbn+=wanted,
, ^zz++++=EXTRAWORD
remarking ^vbg+++xvbg+=remarking
that ^tht+vcmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
exactly ^rb++++=exactly
the ^ati++++=the
way ^nn++++=way
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
Romans ^nn++++=Romans
themselves ^ppls+pp3+++=themselves
treated ^vbd+++xvbn+=treated
their ^pp$+pp3+++=their
neighbors ^nns++++=neighbors,
, ^zz++++=EXTRAWORD
adding ^vbg+vpub++xvbg+=adding,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
neither ^dt++neg++=neither
cruel ^jj++++=cruel
nor ^cc+phrs+neg++=nor
unjust ^jj++++=unjust,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
according- ^vb+++??+=according-'To
'to ^vbd+++xvbn+0=EXTRAWORD
the ^ati++++=the
good ^jj+atrb+++=good
old ^jj+atrb+++=old
planthat ^nn+++??+=planThat
they ^pp3a+pp3+++=they
should ^md+nec+++=should
take ^vb++++=take
who ^whp+who+++=who
have ^vb+hv+vrb++=have
the ^ati++++=the
powerand ^nn+++??+=powerAnd
they ^pp3a+pp3+++=they
should ^md+nec+++=should
keep ^vb++++=keep
who ^whp+who+++=who
can ^md+pos+++=can.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
[ ^zz++++=[Footnote:
footnote ^nn++++=EXTRAWORD
: ^zz++++=EXTRAWORD
These ^dt+dem+++=These
lines ^nns++++=lines
of ^in++++=of
Wordsworth ^np++++=Wordsworth
