[ ^zz++++=[Ellis
chairman ^nn+nom+++=chairman
of ^in++++=of
the ^ati++++=the
trustees ^nns+nom+++=trustees
of ^in++++=of
the ^ati++++=the
Westcote ^np+++??+=Westcote
Cemetery ^nn+nom+++=Cemetery,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
you ^pp2+pp2+++=you
not ^xnot++not++=not?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
told ^vbd+vpub++xvbnx+=told
him ^pp3o+pp3+++=him
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
that ^dt+pdem+++=that
also ^rb++++=also.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I
may ^md+pos+++=may
say ^vb+vpub+++=say
that ^tht+vcmp+++=that
the ^ati++++=the
Westcote ^np+++??+=Westcote
Cemetery ^nn+nom+++=Cemetery
Association ^nn+nom+++=Association
is ^vbz+bez+vrb++=is
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
rightest ^jjt++++=rightest
and ^cc+phrs+++=and
tightest ^jjt++++=tightest
little ^ap++++=little
corporations ^nns+nom+++=corporations
in ^in++++=in
existence ^nn+nom+++=existence.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
in ^in++++=in
existence ^nn+nom+++=existence
since ^cs+sub+++=since
1808 ^cd+date+++=1808
and ^cc++++=and
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
exceedingly ^rb++++=exceedingly
profitable ^jj++++=profitable
to ^in++++=to
those ^dt+dem+++=those
fortunate ^jj++++=fortunate
enough ^qlp++++=enough
to ^to++++=to
hold ^vbi+vprv+++=hold
its ^pp$+it+++=its
stock ^nn++++=stock.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
inherited ^vbd+++xvbnx+=inherited
the ^ati++++=the
small ^jj+atrb+++=small
block ^nn++++=block
I ^pp1a+pp1+++=I
own ^ap++++=own
from ^in++++=from
my ^pp$+pp1+++=my
grandfather ^nn+nom+++=grandfather.
. ^zz++++=EXTRAWORD
Recently ^rb+tm+++=Recently
we ^pp1a+pp1+++=we
trustees ^nns+nom+++=trustees
had ^vbd+hvd+aux++=had
bought ^vprf+++xvbnx+=bought
sixty ^cd++++=sixty
additional ^jj+atrb+++=additional
acres ^nns++++=acres
adjoining ^vwbg+++xvbg+=adjoining
the ^ati++++=the
old ^jj+atrb+++=old
cemetery ^nn+nom+++=cemetery
and ^cc++++=and
had ^vbd+hvd+aux++=had
added ^vprf+++xvbnx+=added
them ^pp3o+pp3+++=them
to ^in++++=to
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
about ^in++++=about
ready ^jj++++=ready
to ^to+jcmp+++=to
put ^vbi++++=put
the ^ati++++=the
new ^jj+atrb+++=new
lots ^nns++++=lots
on ^in++++=on
the ^ati++++=the
market ^nn++++=market.
. ^zz++++=EXTRAWORD
At ^in++++=At
$ ^zz++++=$300
300 ^cd++++=EXTRAWORD
apiece ^rb++++=apiece
there ^ex+pex+++=there
promised ^vbd+vpub++xvbn+=promised
to ^to+vcmp+++=to
be ^vbi++vrb++=be
a ^at++++=a
tremendous ^jj+atrb+++=tremendous
profit ^nn++++=profit
in ^in++++=in
the ^ati++++=the
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
for ^in++++=for
our ^pp$+pp1+++=our
cemetery ^nn+nom+++=cemetery
was ^vbd+bedz+vrb++=was
a ^at++++=a
fashionable ^jj+atrb+++=fashionable
place ^nn++++=place
to ^to++++=to
be ^vbi+vbi+aux++=be
buried ^vpsv++agls+xvbnx+=buried
in ^in++++=in
and ^cc++++=and
the ^ati++++=the
demand ^nn++++=demand
for ^in++++=for
the ^ati++++=the
lots ^nns++++=lots
in ^in++++=in
the ^ati++++=the
new ^jj+atrb+++=new
addition ^nn+nom+++=addition
promised ^vbd+++xvbn+=promised
to ^to+vcmp+++=to
be ^vbi++vrb++=be
enormous ^jj+pred+++=enormous.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
have ^vb+hv+aux++=have
not ^xnot++not++=not
known ^vbd+vprv++xvbn+=known
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Remington ^np+++??+=Remington
Solander ^np+nom++??+=Solander
in ^in++++=in
his ^pp$+pp3+++=his
slow ^jj+atrb+++=slow
drawl ^nn++++=drawl,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
had ^vb+hv+vrb++=had
the ^ati++++=the
effect ^nn++++=effect
of ^in++++=of
letting ^xvbg+++xvbg+=letting
his ^pp$+pp3+++=his
words ^nns++++=words
slide ^vb++++=slide
out ^rp+pl+++=out
of ^in++++=of
his ^pp$+pp3+++=his
mouth ^nn++++=mouth
and ^cc++++=and
drip ^nn++++=drip
down ^in++++=down
his ^pp$+pp3+++=his
long ^jj+atrb+++=long
chin ^nn++++=chin
like ^in++++=like
cold ^jj+atrb+++=cold
molasses ^nn++++=molasses,
, ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
making ^vbg+++xvbgx+=making
inquiries ^nns++++=inquiries
about ^in++++=about
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
meaning ^vbg+++xvbgx+=meaning
to ^to+vcmp+++=to
speak ^vbi++++=speak
to ^in++++=to
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
drawing ^vbg+++xvbgx+=drawing
up ^rb+phrv+++=up
a ^at++++=a
new ^jj++++=new
last ^rb++++=last
will ^md+prd+++=will
and ^cc++++=and
testament ^nn+nom+++=testament,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
want ^vb++++=want
you ^pp2+pp2+++=you
to ^to++++=to
draw ^vbi++++=draw
up ^rb+phrv+++=up
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
clauses ^nns++++=clauses
for ^in++++=for
me ^pp1o+pp1+++=me
without ^in++++=without
delay ^nn++++=delay."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why,
why ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
certainly ^rb+cnj+++=certainly,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Solander ^np+nom+++=Solander,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said
with ^in++++=with
increased ^vbd+++xvbn+=increased
pride ^nn++++=pride.
. ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
glad ^jj+pred+++=glad
to ^to+jcmp+++=to
be ^vbi++vrb++=be
of ^in++++=of
service ^nn++++=service
to ^in++++=to
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+aux++=am
choosing ^vbg+++xvbgx+=choosing
you ^pp2+pp2+++=you
for ^in++++=for
the ^ati++++=the
work ^nn++++=work,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Remington ^np+++??+=Remington
Solander ^np+nom++??+=Solander
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="because
because ^cs+cos+++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
and ^cc++++=and
love ^nn++++=love
radio ^nn++++=radio
as ^ql++++=as
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
because ^cs+cos+++=because
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
a ^at++++=a
trustee ^nn++++=trustee
of ^in++++=of
the ^ati++++=the
cemetery ^nn+nom+++=cemetery
association ^nn+nom+++=association.
. ^zz++++=EXTRAWORD
Are ^vb+ber+vrb++=Are
you ^pp2+pp2+++=you
a ^at++++=a
religious ^jj+atrb+++=religious
man ^nn++++=man?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,"
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little
uneasily ^rb+cnj+++=uneasily,
, ^zz++++=EXTRAWORD
" ^zz++++="some.
some ^dti++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Some ^dti++++=Some,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
much ^rb++++=much."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No
no ^at++++=EXTRAWORD
matter ^nn++++=matter,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Solander ^np+nom+++=Solander,
, ^zz++++=EXTRAWORD
placing ^nvbg+++xvbg+=placing
a ^at++++=a
hand ^nn++++=hand
on ^in++++=on
my ^pp$+pp1+++=my
arm ^nn++++=arm.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
always ^rb++splt++=always
been ^vprf+ben+vrb+xvbnx+=been.
. ^zz++++=EXTRAWORD
From ^in++++=From
my ^pp$+pp1+++=my
earliest ^jjt+atrb+++=earliest
youth ^nn++++=youth
my ^pp$+pp1+++=my
mind ^nn++++=mind
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
on ^in++++=on
serious ^jj+atrb+++=serious
things ^nns++++=things.
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
matter ^nn++++=matter
of ^in++++=of
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
compiled ^vprf+++xvbnx+=compiled
a ^at++++=a
manuscript ^nn++++=manuscript
collection ^nn+nom+++=collection
of ^in++++=of
religious ^jj+atrb+++=religious
quotations ^nns+nom+++=quotations,
, ^zz++++=EXTRAWORD
hymns ^nns++++=hymns,
, ^zz++++=EXTRAWORD
sermons ^nns++++=sermons
and ^cc++++=and
uplifting ^jj+atrb+++=uplifting
thoughts ^nns++++=thoughts
which ^whp+rel+subj++=which
now ^rn+tm+++=now
fill ^vb++++=fill
fourteen ^cd++++=fourteen
volumes ^nns++++=volumes,
, ^zz++++=EXTRAWORD
all ^abn++++=all
in ^in++++=in
my ^pp$+pp1+++=my
own ^ap++++=own
handwriting ^nn++++=handwriting.
. ^zz++++=EXTRAWORD
Fortunately ^rb+cnj+++=Fortunately,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
inherited ^vbd+++xvbnx+=inherited
money ^nn++++=money,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+dem+++=this
collection ^nn+nom+++=collection
is ^vbz+bez+vrb++=is
my ^pp$+pp1+++=my
gift ^nn++++=gift
to ^in++++=to
the ^ati++++=the
world ^nn++++=world."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
a ^at++++=a
noble ^jj+atrb+++=noble
one ^pn++++=one,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
sure ^jj+pred+++=sure,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Most
most ^ql+emph+++=EXTRAWORD
noble ^jj++++=noble,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Solander ^np+nom+++=Solander.
. ^zz++++=EXTRAWORD
" ^zz++++="But,
but ^cc++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
not ^xnot++not++=not
confined ^vbd+++xvbn+=confined
my ^pp$+pp1+++=my
activities ^nns+nom+++=activities
to ^in++++=to
the ^ati++++=the
study ^nn++++=study
chair ^nn++++=chair.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
kept ^vprf+++xvbnx+=kept
my ^pp$+pp1+++=my
eye ^nn++++=eye
on ^in++++=on
the ^ati++++=the
progress ^nns+nom+++=progress
of ^in++++=of
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
it ^pp3+it+++=it
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
me ^vbi++++=me
that ^dt+dem+++=that
radio ^nn++++=radio,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
new ^jj+atrb+++=new
and ^cc+phrs+++=and
wonderful ^jj+atrb+++=wonderful
invention ^nn+nom+++=invention,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
greatest ^jjt+atrb+++=greatest
discovery ^nn+nom+++=discovery
of ^in++++=of
all ^abn++++=all
ages ^nns++++=ages
and ^cc++++=and
imperishable ^jj++++=imperishable.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
being ^vbg+beg+aux+xvbg+=being
twisted ^vbd+++xvbn+=twisted
to ^in++++=to
cheap ^jj+atrb+++=cheap
uses ^nns++++=uses.
. ^zz++++=EXTRAWORD
Jazz ^nn++++=Jazz!
! ^zz++++=EXTRAWORD
Cheap ^jj+atrb+++=Cheap
songs ^nns++++=songs!
! ^zz++++=EXTRAWORD
Worldly ^jj+atrb+++=Worldly
words ^nns++++=words
and ^cc++++=and
music ^nn++++=music!
! ^zz++++=EXTRAWORD
That ^tht+vcmp+++=That
I ^pp1a+pp1+++=I
mean ^vb++++=mean
to ^to+vcmp+++=to
remedy ^vbi++++=remedy."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,"
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="it
it ^pp3+it+++=EXTRAWORD
might ^md+pos+++=might
be ^vb+be+aux++=be
done ^vpsv++agls+xvbnx+=done.
. ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
people ^nns++++=people
like ^in++++=like
what ^wdt+who+++=what
they ^pp3a+pp3+++=they
like ^vb++++=like."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Some
some ^dti++++=EXTRAWORD
nobler ^jjr+atrb+++=nobler
souls ^nns++++=souls
like ^in++++=like
better ^jjr+atrb+++=better
things ^nns++++=things,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Remington ^np+++??+=Remington
Solander ^np+nom++??+=Solander
solemnly ^rb++++=solemnly.
. ^zz++++=EXTRAWORD
" ^zz++++="Some
some ^dti++++=EXTRAWORD
more ^rbr++++=more
worthy ^jj+atrb+++=worthy
men ^nns++++=men
and ^cc++++=and
women ^nns++++=women
will ^md+prd+++=will
welcome ^jj+atrb+++=welcome
nobler ^jjr+atrb+++=nobler
radio ^nn++++=radio
broadcasting ^nn++++=broadcasting.
. ^zz++++=EXTRAWORD
In ^in++++=In
my ^pp$+pp1+++=my
will ^md+prd+++=will
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
putting ^vbg+++xvbgx+=putting
aside ^rp++++=aside
one ^cd1++++=one
million ^cd++++=million
dollars ^nns++++=dollars
to ^to++++=to
establish ^vbi+vprv+++=establish
and ^cc+phrs+++=and
maintain ^vb+vpub+++=maintain
a ^at++++=a
broadcasting ^nn++++=broadcasting
station ^nn+nom+++=station
that ^tht+rel+subj++=that
will ^md+prd+++=will
broadcast ^vb++++=broadcast
only ^rb+down+++=only
my ^pp$+pp1+++=my
fourteen ^cd++++=fourteen
volumes ^nns++++=volumes
of ^in++++=of
hymns ^nns++++=hymns
and ^cc++++=and
uplifting ^jj+atrb+++=uplifting
material ^nn++++=material.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
day ^nn++++=day
this ^dt+dem+++=this
matter ^nn++++=matter
will ^md+prd+++=will
go ^vb++++=go
forth ^rp++++=forth
sermons ^nns++++=sermons,
, ^zz++++=EXTRAWORD
lectures ^nns++++=lectures
on ^in++++=on
prohibition ^nn+nom+++=prohibition,
, ^zz++++=EXTRAWORD
noble ^jj+atrb+++=noble
thoughts ^nns++++=thoughts
and ^cc++++=and
religious ^jj+atrb+++=religious
poems ^nns++++=poems."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
assured ^vbd+++xvbnx+=assured
him ^pp3o+pp3+++=him
that ^cs+sub+++=that
some ^dti++++=some
people ^nns++++=people
might ^md+pos+++=might
be ^vb+be+vrb++=be
glad ^jj+pred+++=glad
to ^to+jcmp+++=to
get ^vbi++++=get
that ^cs+sub+++=that
that ^dt+dem+++=that
a ^at++++=a
lot ^nn++++=lot
of ^in++++=of
people ^nns++++=people
might ^md+pos+++=might,
, ^zz++++=EXTRAWORD
in ^in++++=in
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
could ^md+pos+++=could
write ^vb++++=write
that ^tht+vcmp+++=that
into ^in++++=into
his ^pp$+pp3+++=his
will ^md+prd+++=will
without ^in++++=without
any ^dti++++=any
trouble ^nn++++=trouble
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
" ^zz++++="Ah!"
ah ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Remington ^np+++??+=Remington
Solander ^np+nom++??+=Solander.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cs+sub+++=EXTRAWORD
that ^cs"++++=that
is ^vbz+bez+vrb++=is
already ^rb++++=already
in ^in++++=in
my ^pp$+pp1+++=my
will ^md+prd+++=will.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
I ^pp1a+pp1+++=I
want ^vb++++=want
you ^pp2+pp2+++=you
to ^to++++=to
write ^vbi++++=write
for ^in++++=for
my ^pp$+pp1+++=my
will ^md+prd+++=will,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
another ^dt++++=another
clause ^nn++++=clause.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
mean ^vb++++=mean
to ^to+vcmp+++=to
build ^vbi++++=build,
, ^zz++++=EXTRAWORD
in ^in++++=in
your ^pp$+pp2+++=your
cemetery ^nn+nom+++=cemetery,
, ^zz++++=EXTRAWORD
a ^at++++=a
high ^jj++++=high-class
- ^zz++++=EXTRAWORD
class ^nn++++=EXTRAWORD
and ^cc++++=and
imperishable ^jj+atrb+++=imperishable
granite ^nn++++=granite
tomb ^nn++++=tomb
for ^in++++=for
myself ^ppl+pp1+++=myself.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
mean ^vb++++=mean
to ^to+vcmp+++=to
place ^vbi++++=place
it ^pp3+it+++=it
on ^in++++=on
that ^dt+dem+++=that
knoll ^np++++=knoll
that ^tht+rel+++=that
high ^jj+atrb+++=high
knoll ^np++++=knoll
the ^ati++++=the
highest ^jjt+atrb+++=highest
spot ^nn++++=spot
in ^in++++=in
your ^pp$+pp2+++=your
cemetery ^nn+nom+++=cemetery.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
I ^pp1a+pp1+++=I
want ^vb++++=want
you ^pp2+pp2+++=you
to ^to++++=to
write ^vbi++++=write
into ^in++++=into
my ^pp$+pp1+++=my
will ^md+prd+++=will
is ^vbz+bez+vrb++=is
a ^at++++=a
clause ^nn++++=clause
providing ^vwbg+++xvbg+=providing
for ^in++++=for
the ^ati++++=the
perpetual ^jj+atrb+++=perpetual
care ^nn++++=care
and ^cc++++=and
maintenance ^nn+nom+++=maintenance
of ^in++++=of
my ^pp$+pp1+++=my
tomb ^nn++++=tomb.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
to ^to+vcmp+++=to
set ^vbi++++=set
aside ^rb+phrv+++=aside
five ^cd++++=five
hundred ^cd++++=hundred
thousand ^cd++++=thousand
dollars ^nns++++=dollars
for ^in++++=for
that ^dt+dem+++=that
purpose ^nn++++=purpose."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,"
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said
to ^to+vcmp+++=to
the ^ati++++=the
sheep ^nns++++=sheep-faced
- ^zz++++=EXTRAWORD
faced ^vbd+++xvbn+=EXTRAWORD
millionaire ^nn++++=millionaire,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
can ^md+pos+++=can
do ^vb+do+vrb++=do
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
too ^rb++++=too."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,"
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
agreed ^vbd+vpub++xvbnx+=agreed.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
to ^to+vcmp+++=to
give ^vbi++++=give
my ^pp$+pp1+++=my
family ^nn++++=family
and ^cc++++=and
relations ^nns+nom+++=relations
the ^ati++++=the
remaining ^jj+++xvbg+=remaining
million ^cd++++=million
and ^cc++++=and
a ^at++++=a
half ^nn++++=half
dollars ^nns++++=dollars,
, ^zz++++=EXTRAWORD
provided ^j+++xvbn+=provided,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
accenting ^jj+++xvbg+=accenting
the ^ati++++=the
' ^zz++++='provided,'
provided ^vbd+vsua++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="they
they ^pp3a+pp3+++=EXTRAWORD
carry ^vb++++=carry
out ^rp+pl+++=out
faithfully ^rb++++=faithfully
the ^ati++++=the
provisions ^nns++++=provisions
of ^in++++=of
the ^ati++++=the
clause ^nn++++=clause
providing ^vwbg+++xvbg+=providing
for ^in++++=for
the ^ati++++=the
perpetual ^jj+atrb+++=perpetual
care ^nn++++=care
and ^cc++++=and
maintenance ^nn+nom+++=maintenance
of ^in++++=of
my ^pp$+pp1+++=my
tomb ^nn++++=tomb.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
they ^pp3a+pp3+++=they
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
care ^nn++++=care
and ^cc++++=and
maintain ^vb+vpub+++=maintain,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
giving ^jj+++xvbg+=giving
me ^pp1o+pp1+++=me
a ^at++++=a
hard ^nn++++=hard
look ^vb++++=look,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^dt+dem+++=EXTRAWORD
million ^cd++++=million
and ^cc++++=and
a ^at++++=a
half ^nn++++=half
is ^vbz+bez+aux++=is
to ^to++++=to
go ^vbi++++=go
to ^in++++=to
the ^ati++++=the
Home ^nr++++=Home
for ^in++++=for
Flea ^nn++++=Flea-Bitten
- ^zz++++=EXTRAWORD
bitten ^vb+++xvbn+=EXTRAWORD
Dogs ^nns++++=Dogs."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="They'll
they ^pp3a+pp3+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
care ^vb+vprv+++=care
and ^cc+phrs+++=and
maintain ^vb+vpub+++=maintain,
, ^zz++++=EXTRAWORD
all ^abn++++=all
right ^jj++++=right!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
laughed ^vbd+++xvbnx+=laughed.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
think ^vb+vprv+++=think
so ^rb+cnj+++=so,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Remington ^np+++??+=Remington
Solander ^np+nom++??+=Solander
gravely ^np++++=gravely.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=do
think ^vb+vprv+++=think
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
indeed ^rb++++=indeed!
! ^zz++++=EXTRAWORD
And ^cc+cls+++=And
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
come ^vb++++=come
to ^in++++=to
the ^ati++++=the
important ^jj+atrb+++=important
part ^nn++++=part.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
a ^at++++=a
trustee ^nn++++=trustee
of ^in++++=of
the ^ati++++=the
cemetery ^nn+nom+++=cemetery."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,"
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="For
for ^in++++=EXTRAWORD
drawing ^xvbg+++xvbg+=drawing
this ^dt+dem+++=this
