" ^zz++++="Ye
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he;
; ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
want ^vb++++=want
to ^to+vcmp+++=to
know ^vbi+vprv+tht0++=know
their ^pp$+pp3+++=their
exact ^jj+atrb+++=exact
words ^nns++++=words.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
tell ^vb++++=tell
me ^pp1o+pp1+++=me
the ^ati++++=the
truth ^nn++++=truth
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
reward ^vb++++=reward
you ^pp2+pp2+++=you;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
conceal ^vb++++=conceal
anything ^pn++++=anything
from ^in++++=from
me ^pp1o+pp1+++=me
you ^pp2+pp2+++=you
will ^md+prd+++=will
be ^vb+be+aux++=be
punished ^vpsv++agls+xvbnx+=punished.
. ^zz++++=EXTRAWORD
See ^vb+vprv+++=See
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
Catherine ^np++++=Catherine,
, ^zz++++=EXTRAWORD
pour ^&fw++++=pour
out ^rp+pl+++=out
a ^at++++=a
glass ^nn++++=glass
of ^in++++=of
vodki ^nn+++??+=vodki
to ^to++++=to
give ^vbi++++=give
him ^pp3o+pp3+++=him
courage ^nn+nom+++=courage!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
After ^in++++=After
drinking ^nn++++=drinking
to ^in++++=to
the ^ati++++=the
health ^nn++++=health
of ^in++++=of
his ^pp$+pp3+++=his
superior ^nn++++=superior,
, ^zz++++=EXTRAWORD
the ^ati++++=the
elder ^nn++++=elder
said ^vbd+vpub++xvbn+=said
to ^to+vcmp+++=to
himself ^ppl+pp3+++=himself:
: ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
my ^pp$+pp1+++=my
fault ^nn++++=fault
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
do ^vb+do+vrb++=do
not ^xnot++not++=not
praise ^nn++++=praise
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
tell ^vb++++=tell
him ^pp3o+pp3+++=him
the ^ati++++=the
truth ^nn++++=truth."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
turning ^vbg+++xvbg+=turning
suddenly ^rb++++=suddenly
to ^in++++=to
the ^ati++++=the
superintendent ^nn++++=superintendent
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
complain ^vb+vpub+++=complain,
, ^zz++++=EXTRAWORD
Michael ^np++++=Michael
Simeonovitch ^np+++??+=Simeonovitch!
! ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
complain ^vb+vpub+++=complain
bitterly ^rb++++=bitterly."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc+cls+++=EXTRAWORD
what ^wdt+who+++=what
did ^vbd+dod+aux++=did
they ^pp3a+pp3+++=they
say ^vb+vpub+++=say?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
demanded ^vwbn+vsua++xvbn+=demanded
Michael ^np++++=Michael.
. ^zz++++=EXTRAWORD
" ^zz++++="Tell
tell ^vb++++=EXTRAWORD
me ^pp1o+pp1+++=me!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
thing ^nn++++=thing
they ^pp3a+pp3+++=they
said ^vbd+vpub++xvbnx+=said
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
' ^zz++++='He
he ^pp3a+pp3+++=EXTRAWORD
does ^vbz+doz+aux++=does
not ^xnot++not++=not
believe ^vb+vprv+++=believe
in ^in++++=in
God. ^np+++??+=God.'"
'" ^nn+++??+=EXTRAWORD
Michael ^np++++=Michael
laughed ^vbd+++xvbn+=laughed.
. ^zz++++=EXTRAWORD
" ^zz++++="Who
who ^whp+who+++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
that ^tht+vcmp+++=that?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
be ^vbi++vrb++=be
their ^pp$+pp3+++=their
unanimous ^jj+atrb+++=unanimous
opinion ^nn++++=opinion.
. ^zz++++=EXTRAWORD
' ^zz++++='He
he ^pp3a+pp3+++=EXTRAWORD
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
overcome ^vpsv++by+xvbnx+=overcome
by ^in++++=by
the ^ati++++=the
Evil ^nn++++=Evil
One ^pn++++=One,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
said ^vbd+vpub++xvbnx+=said."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Very
very ^ql+amp+++=EXTRAWORD
good ^jj++++=good,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
laughed ^vbd+++xvbn+=laughed
the ^ati++++=the
superintendent ^nn++++=superintendent;
; ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
tell ^vb++++=tell
me ^pp1o+pp1+++=me
what ^wdt+who+++=what
each ^dt++++=each
of ^in++++=of
them ^pp3o+pp3+++=them
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
did ^vbd+dod+aux++=did
Vasili ^np+++??+=Vasili
say ^vb+vpub+++=say?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
elder ^jjr++++=elder
did ^vbd+dod+aux++=did
not ^xnot++not++=not
wish ^vb+vprv+++=wish
to ^to+vcmp+++=to
betray ^vbi++++=betray
his ^pp$+pp3+++=his
people ^nns++++=people,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
a ^at++++=a
certain ^jj+atrb+++=certain
grudge ^nn++++=grudge
against ^in++++=against
Vasili ^np+++??+=Vasili,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
cursed ^vbd+++xvbnx+=cursed
you ^pp2+pp2+++=you
more ^ql++++=more
than ^cs+sub+++=than
did ^vbd+dod+vrb++=did
any ^dti++++=any
of ^in++++=of
the ^ati++++=the
others ^aps++++=others."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc+cls+++=EXTRAWORD
what ^wdt+who+++=what
did ^vbd+dod+aux++=did
he ^pp3a+pp3+++=he
say ^vb+vpub+++=say?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
awful ^jj+pred+++=awful
to ^to++++=to
repeat ^vbi++++=repeat
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir.
. ^zz++++=EXTRAWORD
Vasili ^np+++??+=Vasili
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
' ^zz++++='He
he ^pp3a+pp3+++=EXTRAWORD
shall ^md+prd+++=shall
die ^vb++++=die
like ^in++++=like
a ^at++++=a
dog ^nn++++=dog,
, ^zz++++=EXTRAWORD
having ^vbg+hvg++xvbg+=having
no ^at++++=no
chance ^nn++++=chance
to ^to+ncmp+++=to
repent! ^vb+++??+=repent!'"
'" ^nn+++??+=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
villain ^nn++++=villain!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
exclaimed ^vbd+++xvbn+=exclaimed
Michael ^np++++=Michael.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
would ^md+prd+++=would
kill ^vb++++=kill
me ^pp1o+pp1+++=me
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
afraid ^jj++++=afraid.
. ^zz++++=EXTRAWORD
All ^abn++++=All
right ^jj++++=right,
, ^zz++++=EXTRAWORD
Vasili ^np+++??+=Vasili;
; ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
shall ^md+prd+++=shall
have ^vb+hv+vrb++=have
an ^at++++=an
accounting ^jj+++xvbg+=accounting
with ^in++++=with
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
Tishka ^np+++??+=Tishka--he
-- ^--+clp+++=EXTRAWORD
he ^pp3a+pp3+++=EXTRAWORD
called ^vbd+++xvbnx+=called
me ^pp1o+pp1+++=me
a ^at++++=a
dog ^nn++++=dog,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suppose ^vb+vprv+++=suppose?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,"
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
elder ^jjr++++=elder,
, ^zz++++=EXTRAWORD
" ^zz++++="they
they ^pp3a+pp3+++=EXTRAWORD
all ^rb++++=all
spoke ^vbd+++xvbn+=spoke
of ^in++++=of
you ^pp2+pp2+++=you
in ^in++++=in
anything ^rb++++=anything
but ^rb"++++=but
complimentary ^jj+atrb+++=complimentary
terms ^nns++++=terms;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
mean ^jj+pred+++=mean
in ^in++++=in
me ^pp1o+pp1+++=me
to ^to++++=to
repeat ^vbi++++=repeat
what ^wdt+who+++=what
they ^pp3a+pp3+++=they
said ^vbd+vpub++xvbnx+=said."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Mean
mean ^jj++++=EXTRAWORD
or ^cc++++=or
not ^xnot++not++=not
you ^pp2+pp2+++=you
must ^md+nec+++=must
tell ^vb++++=tell
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
say ^vb+vpub+++=say!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Some
some ^dti++++=EXTRAWORD
of ^in++++=of
them ^pp3o+pp3+++=them
declared ^vbd+vpub++xvbn+=declared
that ^tht+vcmp+++=that
your ^pp$+pp2+++=your
back ^jjb++++=back
should ^md+nec+++=should
be ^vb+be+aux++=be
broken ^vpsv++agls+xvbnx+=broken."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Simeonovitch ^np+++??+=Simeonovitch
appeared ^vbd+seem++xvbn+=appeared
to ^to+vcmp+++=to
enjoy ^vbi++++=enjoy
this ^dt+pdem+++=this
immensely ^rb+cnj+++=immensely,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
laughed ^vbd+++xvbnx+=laughed
outright ^rb++++=outright.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
shall ^md+prd+++=shall
see ^vb+vprv+++=see
whose ^whp+wp$r+whcl++=whose
back ^jjb++++=back
will ^md+prd+++=will
be ^vb+be+vrb++=be
the ^ati++++=the
first ^rb++++=first
to ^to++++=to
be ^vbi+vbi+aux++=be
broken ^vpsv++agls+xvbnx+=broken,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
" ^zz++++="Was
was ^vbd+bedz+vrb++=EXTRAWORD
that ^dt+dem+++=that
Tishka ^np++++=Tishka's
's ^$++++=EXTRAWORD
opinion ^nn++++=opinion?
? ^zz++++=EXTRAWORD
While ^cs+sub+++=While
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
not ^xnot++not++=not
suppose ^vb+vprv+tht0++=suppose
they ^pp3a+pp3+++=they
would ^md+prd+++=would
say ^vb+vpub+tht0++=say
anything ^pn++++=anything
good ^jj++++=good
about ^rb++++=about
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
not ^xnot++not++=not
expect ^vb+vprv+++=expect
such ^abl++++=such
curses ^nns++++=curses
and ^cc++++=and
threats ^nns++++=threats.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
Peter ^np++++=Peter
Mikhayeff ^np+++??+=Mikhayeff--was
-- ^--+clp+++=EXTRAWORD
was ^vbd+bedz+vrb++=EXTRAWORD
that ^cs+sub+++=that
fool ^jjb++++=fool
cursing ^jj+++xvbg+=cursing
me ^pp1o+pp1+++=me
too ^ql++++=too?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No;
no ^at++++=EXTRAWORD
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
curse ^vb++++=curse
you ^pp2+pp2+++=you
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
appeared ^vbd+seem++xvbnx+=appeared
to ^to+vcmp+++=to
be ^vbi++vrb++=be
the ^ati++++=the
only ^rb+down+++=only
silent ^jj+atrb+++=silent
one ^pn++++=one
among ^in++++=among
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Mikhayeff ^np+++??+=Mikhayeff
is ^vbz+bez+vrb++=is
a ^at++++=a
very ^ql+amp+++=very
wise ^jj+atrb+++=wise
moujik ^nn+++??+=moujik,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
surprises ^nns++++=surprises
me ^pp1o+pp1+++=me
very ^ql+amp+++=very
much ^ap++++=much.
. ^zz++++=EXTRAWORD
At ^in++++=At
his ^pp$+pp3+++=his
actions ^nns+nom+++=actions
all ^rb++++=all
the ^ati++++=the
other ^ap++++=other
peasants ^nns+nom+++=peasants
seemed ^vbd+seem++xvbn+=seemed
amazed ^vbd+++xvbn+=amazed."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
did ^vbd+dod+aux++=did
he ^pp3a+pp3+++=he
do ^vb+do+vrb++=do?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
did ^vbd+dod+vrb++=did
something ^pn++++=something
remarkable ^jj++++=remarkable.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
diligently ^rb++splt++=diligently
ploughing ^vbg+++xvbgx+=ploughing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^ql++++=as
I ^pp1a+pp1+++=I
approached ^vbd+++xvbnx+=approached
him ^pp3o+pp3+++=him
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard
some ^dti++++=some
one ^cd1++++=one
singing ^vbg+++xvbg+=singing
very ^ql+amp+++=very
sweetly ^rb++++=sweetly.
. ^zz++++=EXTRAWORD
Looking ^vbg+++xvbg+=Looking
between ^in++++=between
the ^ati++++=the
ploughshares ^nns+++??+=ploughshares,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
observed ^vbd+vprv++xvbnx+=observed
a ^at++++=a
bright ^jj+atrb+++=bright
object ^nn++++=object
shining ^vwbg+++xvbg+=shining."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
was ^vbd+bedz+aux++=was
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
Hurry ^np++++=Hurry
up ^rp++++=up!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
small ^jj++++=small,
, ^zz++++=EXTRAWORD
five ^cd++++=five-kopeck
- ^zz++++=EXTRAWORD
kopeck ^nn+++??+=EXTRAWORD
wax ^nn++++=wax
candle ^nn++++=candle,
, ^zz++++=EXTRAWORD
burning ^jj+++xvbg+=burning
brightly ^rb+cnj+++=brightly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
wind ^nn++++=wind
was ^vbd+bedz+vrb++=was
unable ^jj+pred+++=unable
to ^to+jcmp+++=to
blow ^vbi++++=blow
it ^pp3+it+++=it
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
Peter ^np++++=Peter,
, ^zz++++=EXTRAWORD
wearing ^vbg+++xvbg+=wearing
a ^at++++=a
new ^jj+atrb+++=new
shirt ^nn++++=shirt,
, ^zz++++=EXTRAWORD
sang ^jj+atrb++xvbn+=sang
beautiful ^jj+atrb+++=beautiful
hymns ^nns++++=hymns
as ^ql++++=as
he ^pp3a+pp3+++=he
ploughed ^vbd+++xvbnx+=ploughed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
matter ^nn++++=matter
how ^wrb+who+++=how
he ^pp3a+pp3+++=he
handled ^vbd+++xvbnx+=handled
the ^ati++++=the
implement ^nn+nom+++=implement
the ^ati++++=the
candle ^nn++++=candle
continued ^vbd+++xvbn+=continued
to ^to++++=to
burn ^vbi++++=burn.
. ^zz++++=EXTRAWORD
In ^in++++=In
my ^pp$+pp1+++=my
presence ^nn+nom+++=presence
he ^pp3a+pp3+++=he
fixed ^vbd+++xvbnx+=fixed
the ^ati++++=the
plough ^nn++++=plough,
, ^zz++++=EXTRAWORD
shaking ^jj+++xvbg+=shaking
it ^pp3+it+++=it
violently ^rb+cnj+++=violently,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
bright ^jj++++=bright
little ^ap++++=little
object ^nn++++=object
between ^in++++=between
the ^ati++++=the
colters ^nns+nom+++=colters
remained ^vbd+++xvbn+=remained
undisturbed ^jj++++=undisturbed."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc+cls+++=EXTRAWORD
what ^wdt+who+++=what
did ^vbd+dod+aux++=did
Mikhayeff ^np+++??+=Mikhayeff
say ^vb+vpub+++=say?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
said ^vbd+vpub+tht0+xvbnx+=said
nothing ^pn++++=nothing--except
-- ^--+clp+++=EXTRAWORD
except ^in++++=EXTRAWORD
when ^wrb+who+++=when,
, ^zz++++=EXTRAWORD
on ^in++++=on
seeing ^xvbg+++xvbg+=seeing
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
gave ^vbd+++xvbnx+=gave
me ^pp1o+pp1+++=me
the ^ati++++=the
holy ^jj++++=holy-day
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
salutation ^nn+nom+++=salutation,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
on ^in++++=on
his ^pp$+pp3+++=his
way ^nn++++=way
singing ^vwbg+++xvbg+=singing
and ^cc++++=and
ploughing ^vwbg+++xvbg+=ploughing
as ^ql++++=as
before ^in++++=before.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
not ^xnot++not++=not
say ^vb+vpub+++=say
anything ^pn++++=anything
to ^in++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
on ^in++++=on
approaching ^xvbg+++xvbg+=approaching
the ^ati++++=the
other ^ap++++=other
moujiks ^nns+++??+=moujiks,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
found ^vbd+vprv++xvbnx+=found
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
laughing ^vbg+++xvbgx+=laughing
and ^cc+phrs+++=and
making ^vbg+++xvbg+=making
sport ^nn++++=sport
of ^in++++=of
their ^pp$+pp3+++=their
silent ^jj+atrb+++=silent
companion ^nn++++=companion.
. ^zz++++=EXTRAWORD
' ^zz++++='It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
great ^jj+atrb+++=great
sin ^nn++++=sin
to ^in++++=to
plough ^nn++++=plough
on ^in++++=on
Easter ^np++++=Easter
Monday ^nr++++=Monday,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
' ^zz++++='You
you ^pp2+pp2+++=EXTRAWORD
could ^md+pos+++=could
not ^xnot++not++=not
get ^vb++++=get
absolution ^nn+nom+++=absolution
from ^in++++=from
your ^pp$+pp2+++=your
sin ^nn++++=sin
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
were ^vbd+bed+aux++=were
to ^to++++=to
pray ^vbi+vsua+++=pray
all ^abn++++=all
your ^pp$+pp2+++=your
life. ^nn+++??+=life.'"
'" ^nn+++??+=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
did ^vbd+dod+aux++=did
Mikhayeff ^np+++??+=Mikhayeff
make ^vb++++=make
no ^at++++=no
reply ^nn++++=reply?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
stood ^vbd+++xvbnx+=stood
long ^rb++++=long
enough ^qlp++++=enough
to ^to++++=to
say ^vbi+vpub+++=say:
: ^zz++++=EXTRAWORD
' ^zz++++='There
there ^ex+pex+++=EXTRAWORD
should ^md+nec+++=should
be ^vb+be+vrb++=be
peace ^nn++++=peace
on ^in++++=on
earth ^nn++++=earth
and ^cc++++=and
good ^jj++++=good-will
- ^zz++++=EXTRAWORD
will ^md+prd+++=EXTRAWORD
to ^in++++=to
men ^nns++++=men,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
after ^cs+sub+++=after
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
resumed ^vbd+++xvbnx+=resumed
his ^pp$+pp3+++=his
ploughing ^nvbg+++xvbg+=ploughing
and ^cc++++=and
singing ^nvbg+++xvbg+=singing,
, ^zz++++=EXTRAWORD
the ^ati++++=the
candle ^nn++++=candle
burning ^vwbg+++xvbg+=burning
even ^rb++++=even
more ^rbr++++=more
brightly ^rb++++=brightly
than ^in++++=than
before ^in+strn+++=before."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Simeonovitch ^np+++??+=Simeonovitch
had ^vb+hv+aux++=had
now ^rn+tm+splt++=now
ceased ^vprf+++xvbnx+=ceased
to ^to++++=to
ridicule ^vbi++++=ridicule,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
putting ^vbg+++xvbg+=putting
aside ^rp++++=aside
his ^pp$+pp3+++=his
guitar ^nn++++=guitar,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
head ^jjb++++=head
dropped ^jj+++xvbn+=dropped
on ^in++++=on
his ^pp$+pp3+++=his
breast ^nn++++=breast
and ^cc++++=and
he ^pp3a+pp3+++=he
became ^vbd+++xvbnx+=became
lost ^vbd+++xvbn+=lost
in ^in++++=in
thought ^nn+++xvbn+=thought.
. ^zz++++=EXTRAWORD
Presently ^rb+tm+++=Presently
he ^pp3a+pp3+++=he
ordered ^vbd+vsua++xvbnx+=ordered
the ^ati++++=the
elder ^jjr++++=elder
and ^cc++++=and
cook ^nn++++=cook
to ^to++++=to
depart ^vbi++++=depart,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
which ^whp+rel+pied++=which
Michael ^np++++=Michael
went ^vbd+++xvbn+=went
behind ^in+pl+++=behind
a ^at++++=a
screen ^nn++++=screen
and ^cc++++=and
threw ^vbd+++xvbn+=threw
himself ^ppl+pp3+++=himself
upon ^in++++=upon
the ^ati++++=the
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
sighing ^vbg+++xvbgx+=sighing
and ^cc+phrs+++=and
moaning ^vbg+++xvbg+=moaning,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
in ^in++++=in
great ^jj+atrb+++=great
distress ^nns+nom+++=distress,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
his ^pp$+pp3+++=his
wife ^nn++++=wife
came ^vbd+++xvbn+=came
in ^in++++=in
and ^cc++++=and
spoke ^vbd+++xvbn+=spoke
kindly ^rb++++=kindly
to ^in++++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
refused ^vbd+++xvbnx+=refused
to ^to+vcmp+++=to
listen ^vbi++++=listen
to ^in++++=to
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
exclaiming ^jj+++xvbg+=exclaiming:
: ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
has ^vbz+hvz+aux++=has
conquered ^vprf+++xvbnx+=conquered
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
end ^nn++++=end
is ^vbz+bez+vrb++=is
near ^in+strn+++=near!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Mishinka,"
mishinka ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
" ^zz++++="arise
arise ^vb++++=EXTRAWORD
and ^cc+phrs+++=and
go ^vb++++=go
to ^in++++=to
the ^ati++++=the
moujiks ^nns+++??+=moujiks
in ^in++++=in
the ^ati++++=the
field ^nn++++=field.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
them ^pp3o+pp3+++=them
go ^vb++++=go
home ^nr++++=home,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
everything ^pn++++=everything
will ^md+prd+++=will
be ^vb+be+vrb++=be
all ^abn++++=all
right ^jj++++=right.
. ^zz++++=EXTRAWORD
Heretofore ^np+++??+=Heretofore
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
run ^vprf+++xvbnx+=run
far ^rb+pl+++=far
greater ^jjr+atrb+++=greater
risks ^nns++++=risks
without ^in++++=without
any ^dti++++=any
fear ^nn++++=fear,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
now ^rn+tm+++=now
you ^pp2+pp2+++=you
appear ^vb+seem+++=appear
to ^to+vcmp+++=to
be ^vbi++vrb++=be
