Grown ^vprf+++xvbn+=GROWN-UP
from ^in++++=from
which ^whp+rel+pied++=which
they ^pp3a+pp3+++=they
came ^vbd+++xvbnx+=came.
. ^zz++++=EXTRAWORD
Unthinkingly ^np+++??+=Unthinkingly
I ^pp1a+pp1+++=I
grasped ^vbd+vprv++xvbnx+=grasped
the ^ati++++=the
golden ^jj+atrb+++=golden
fraud ^nn++++=fraud,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
collapsed ^vbd+++xvbn+=collapsed
at ^rb++++=at
my ^pp$+pp1+++=my
touch ^nn++++=touch,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
squirted ^vbd+++xvbn+=squirted
its ^pp$+it+++=its
contents ^nns++++=contents
into ^in++++=into
my ^pp$+pp1+++=my
eyes ^nns++++=eyes
and ^cc++++=and
over ^in++++=over
my ^pp$+pp1+++=my
collar ^nn++++=collar,
, ^zz++++=EXTRAWORD
till ^cs+sub+++=till
the ^ati++++=the
nethermost ^nn+++??+=nethermost
parts ^nns++++=parts
of ^in++++=of
me ^pp1o+pp1+++=me
were ^vbd+bed+vrb++=were
damp ^nn++++=damp
with ^in++++=with
the ^ati++++=the
water ^nn++++=water
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
run ^vprf+++xvbnx+=run
down ^rb+phrv+++=down
my ^pp$+pp1+++=my
neck ^nn++++=neck.
. ^zz++++=EXTRAWORD
In ^in++++=In
an ^at++++=an
instant ^nn+nom+++=instant
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
Harold ^np++++=Harold
down ^in+strn+++=down,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
with ^in++++=with
all ^abn++++=all
the ^ati++++=the
energy ^nn++++=energy
of ^in++++=of
which ^whp+rel+pied++=which
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
capable ^jj+pred+++=capable,
, ^zz++++=EXTRAWORD
devoted ^j+++xvbn+=devoted
myself ^ppl+pp1+++=myself
to ^to++++=to
grinding ^vbi++++=grinding
his ^pp$+pp3+++=his
head ^nn++++=head
into ^in++++=into
the ^ati++++=the
gravel ^nn++++=gravel;
; ^zz++++=EXTRAWORD
while ^cs+sub+++=while
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
realising ^vbg+vprv++xvbg+=realising
that ^tht+vcmp+++=that
the ^ati++++=the
closure ^nn++++=closure
was ^vbd+bedz+aux++=was
applied ^vpsv++agls+xvbnx+=applied,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
the ^ati++++=the
time ^nn++++=time
for ^in++++=for
discussion ^nn++++=discussion
or ^cc++++=or
argument ^nn+nom+++=argument
was ^vbd+bedz+vrb++=was
past ^jjb+pred+++=past,
, ^zz++++=EXTRAWORD
sternly ^rb++++=sternly
concentrated ^vbd+++xvbn+=concentrated
his ^pp$+pp3+++=his
powers ^nns++++=powers
on ^in++++=on
kicking ^xvbg+++xvbg+=kicking
me ^pp1o+pp1+++=me
in ^in++++=in
the ^ati++++=the
stomach ^nn++++=stomach.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
people ^nns++++=people
can ^md+pos+++=can
never ^rb++splt++=never
allow ^vb++++=allow
events ^nns++++=events
to ^in++++=to
work ^nn++++=work
themselves ^ppls+pp3+++=themselves
out ^rp+pl+++=out
quietly ^rb++++=quietly.
. ^zz++++=EXTRAWORD
At ^rb++++=At
this ^dt+dem+++=this
juncture ^nn++++=juncture
one ^pn++++=one
of ^in++++=of
Them ^pp3o+pp3+++=Them
swooped ^vbd+++xvbn+=swooped
down ^rp++++=down
on ^in++++=on
the ^ati++++=the
scene ^nn++++=scene,
, ^zz++++=EXTRAWORD
pouring ^vbg+++xvbg+=pouring
shrill ^jj+atrb+++=shrill,
, ^zz++++=EXTRAWORD
misplaced ^jj+atrb++xvbn+=misplaced
abuse ^nn++++=abuse
on ^in++++=on
both ^abx++++=both
of ^in++++=of
us ^pp1o+pp1+++=us:
: ^zz++++=EXTRAWORD
on ^in++++=on
me ^pp1o+pp1+++=me
for ^in++++=for
ill ^jj++++=ill-treating
- ^zz++++=EXTRAWORD
treating ^vbg+++xvbg+=EXTRAWORD
my ^pp$+pp1+++=my
younger ^jjr+atrb+++=younger
brother ^nn++++=brother,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
distinctly ^rb++++=distinctly
I ^pp1a+pp1+++=I
who ^whp+who+++=who
was ^vbd+bedz+vrb++=was
the ^ati++++=the
injured ^jj+++xvbn+=injured
and ^cc++++=and
the ^ati++++=the
deceived ^jj+++xvbn+=deceived;
; ^zz++++=EXTRAWORD
on ^in++++=on
him ^pp3o+pp3+++=him
for ^in++++=for
the ^ati++++=the
high ^jj+atrb+++=high
offence ^nn+nom+++=offence
of ^in++++=of
assault ^nn++++=assault
and ^cc++++=and
battery ^nn+nom+++=battery
on ^in++++=on
a ^at++++=a
clean ^jj+atrb+++=clean
collar ^nn++++=collar
a ^at++++=a
collar ^nn++++=collar
which ^whp+rel+obj++=which
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
myself ^ppl+pp1+++=myself
deflowered ^vbd+++xvbn+=deflowered
and ^cc+phrs+++=and
defaced ^vbd+++xvbn+=defaced,
, ^zz++++=EXTRAWORD
shortly ^rb+tm+++=shortly
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
in ^in++++=in
sheer ^jjb++++=sheer
desperate ^jj++++=desperate
ill ^jj++++=ill-temper.
- ^zz++++=EXTRAWORD
temper ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Disgusted ^j+++xvbn+=Disgusted
and ^cc+phrs+++=and
defiant ^jj++++=defiant
we ^pp1a+pp1+++=we
fled ^vbd+++xvbn+=fled
in ^in++++=in
different ^jj+atrb+++=different
directions ^nns+nom+++=directions,
, ^zz++++=EXTRAWORD
rejoining ^vbg+++xvbg+=rejoining
each ^dt++++=each
other ^ap++++=other
later ^rbr+tm+++=later
in ^in++++=in
the ^ati++++=the
kitchen ^nn++++=kitchen-garden;
- ^zz++++=EXTRAWORD
garden ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^ql++++=as
we ^pp1a+pp1+++=we
strolled ^vbd+++xvbn+=strolled
along ^in++++=along
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
short ^jj+atrb+++=short
feud ^nn+++??+=feud
forgotten ^vwbn+vprv++xvbn+=forgotten,
, ^zz++++=EXTRAWORD
Harold ^np++++=Harold
observed ^vbd+++xvbn+=observed,
, ^zz++++=EXTRAWORD
gloomily ^rb++++=gloomily:
: ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
should ^md+nec+++=should
like ^vb++++=like
to ^to+vcmp+++=to
be ^vbi++vrb++=be
a ^at++++=a
cave ^nn++++=cave-man,
- ^zz++++=EXTRAWORD
man ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
like ^in++++=like
Uncle ^nn++++=Uncle
George ^np++++=George
was ^vbd+bedz+vrb++=was
tellin ^nn+++??+=tellin'
' ^zz++++=EXTRAWORD
us ^pp1o+pp1+++=us
about ^in+strn+++=about:
: ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
flint ^nn++++=flint
hatchet ^nn++++=hatchet
and ^cc++++=and
no ^at++++=no
clothes ^nns++++=clothes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
live ^vb++++=live
in ^in++++=in
a ^at++++=a
cave ^nn++++=cave
and ^cc++++=and
not ^xnot++not++=not
know ^vb+vprv+++=know
anybody ^pn++++=anybody!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc+cls+++=EXTRAWORD
if ^cs+cnd+++=if
anyone ^pn++++=anyone
came ^vbd+++xvbn+=came
to ^to++++=to
see ^vbi+vprv+++=see
us ^pp1o+pp1+++=us
we ^pp1a+pp1+++=we
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
like ^vb++++=like,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
joined ^vbd+++xvbnx+=joined
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
catching ^vbg+++xvbg+=catching
on ^in+cmpx+++=on
to ^in"++++=to
the ^ati++++=the
points ^nns++++=points
of ^in++++=of
the ^ati++++=the
idea ^nn++++=idea,
, ^zz++++=EXTRAWORD
" ^zz++++="we'd
we ^pp1a+pp1+++=EXTRAWORD
'd ^vbd+hvd+aux++0=EXTRAWORD
hit ^vprf+++xvbnx+=hit
him ^pp3o+pp3+++=him
on ^in++++=on
the ^ati++++=the
head ^nn++++=head
with ^in++++=with
the ^ati++++=the
hatchet ^nn++++=hatchet
till ^cs+sub+++=till
he ^pp3a+pp3+++=he
dropped ^vbd+++xvbnx+=dropped
down ^rp++++=down
dead ^jj++++=dead."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
then ^rn+tm+++=then,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Harold ^np++++=Harold,
, ^zz++++=EXTRAWORD
warming ^vbg+++xvbg+=warming
up ^rp++++=up,
, ^zz++++=EXTRAWORD
" ^zz++++="we'd
we ^pp1a+pp1+++=EXTRAWORD
'd ^md+prd+vrb++0=EXTRAWORD
drag ^nn++++=drag
him ^pp3o+pp3+++=him
into ^in++++=into
the ^ati++++=the
cave ^nn++++=cave
and ^cc++++=and
skin ^nn++++=skin
him ^pp3o+pp3+++=him!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
space ^nn++++=space
we ^pp1a+pp1+++=we
gloated ^vbd+++xvbn+=gloated
silently ^rb++++=silently
over ^in++++=over
the ^ati++++=the
fair ^jj+atrb+++=fair
scene ^nn++++=scene
our ^pp$+pp1+++=our
imaginations ^nns+nom+++=imaginations
had ^vbd+hvd+aux++=had
conjured ^vprf+++xvbnx+=conjured
up ^rp++++=up.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
blood ^nn++++=blood
we ^pp1a+pp1+++=we
felt ^vbd+vprv++xvbn+=felt
the ^ati++++=the
need ^nn++++=need
of ^in++++=of
just ^rb+emph+++=just
then ^rn+tm+++=then.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
wanted ^vbd+++xvbn+=wanted
no ^at++++=no
luxuries ^nns++++=luxuries,
, ^zz++++=EXTRAWORD
nothing ^pn++++=nothing
dear ^jj++++=dear-bought
- ^zz++++=EXTRAWORD
bought ^vprf+++xvbn+=EXTRAWORD
nor ^cc++neg++=nor
far ^rb+pl+++=far-fetched.
- ^zz++++=EXTRAWORD
fetched ^vbd+++xvbn+=EXTRAWORD
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
plain ^jj+atrb+++=plain
blood ^nn++++=blood,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
nothing ^pn++++=nothing
else ^rb+cnj+++=else,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
plenty ^nn++++=plenty
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Blood ^nn++++=Blood,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
to ^to++++=to
be ^vbi+vbi+aux++=be
had ^vb+hv+vrb++=had.
. ^zz++++=EXTRAWORD
The ^ati++++=The
time ^nn++++=time
was ^vbd+bedz+vrb++=was
out ^rp+pl+++=out
of ^in++++=of
joint ^jjb++++=joint,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
born ^vpsv++agls+xvbnx+=born
too ^ql++++=too
late ^jj++++=late.
. ^zz++++=EXTRAWORD
So ^ql++++=So
we ^pp1a+pp1+++=we
went ^vbd+++xvbn+=went
off ^rp+pl+++=off
to ^in++++=to
the ^ati++++=the
green ^jj++++=green-house,
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
, ^zz++++=EXTRAWORD
crawled ^vprf+++xvbn+=crawled
into ^in++++=into
the ^ati++++=the
heating ^jj+atrb++xvbg+=heating
arrangement ^nn+nom+++=arrangement
underneath ^in+strn+++=underneath,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
played ^vbd+++xvbn+=played
at ^in+ppvb+++=at
the ^ati++++=the
dark ^jj++++=dark
and ^cc+phrs+++=and
dirty ^jj+atrb+++=dirty
and ^cc+phrs+++=and
unrestricted ^jj+atrb+++=unrestricted
life ^nn++++=life
of ^in++++=of
cave ^nn++++=cave-men
- ^zz++++=EXTRAWORD
men ^nns++++=EXTRAWORD
till ^cs+sub+++=till
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
heartily ^rb++++=heartily
sick ^jj+pred+++=sick
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
we ^pp1a+pp1+++=we
emerged ^vbd+++xvbn+=emerged
once ^rb+tm+++=once
more ^rbr++++=more
into ^in++++=into
historic ^jj+atrb+++=historic
times ^nns++++=times,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
went ^vbd+++xvbn+=went
off ^rp+pl+++=off
to ^in++++=to
the ^ati++++=the
road ^nn++++=road
to ^to++++=to
look ^vbi++++=look
for ^in++++=for
something ^pn++++=something
living ^jj+++xvbg+=living
and ^cc+phrs+++=and
sentient ^jj++++=sentient
to ^to++++=to
throw ^vbi++++=throw
stones ^nns++++=stones
at ^in+strn+++=at.
. ^zz++++=EXTRAWORD
Nature ^nn++++=Nature,
, ^zz++++=EXTRAWORD
so ^ql++++=so
often ^rb++++=often
a ^at++++=a
cheerful ^jj+atrb+++=cheerful
ally ^nn++++=ally,
, ^zz++++=EXTRAWORD
sometimes ^rb++++=sometimes
sulks ^vbz++++=sulks
and ^cc+phrs+++=and
refuses ^vbz++++=refuses
to ^to+vcmp+++=to
play ^vbi++++=play.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
in ^in++++=in
this ^dt+dem+++=this
mood ^nn++++=mood
she ^pp3a+pp3+++=she
passes ^vbz++++=passes
the ^ati++++=the
word ^nn++++=word
to ^in++++=to
her ^pp$+pp3+++=her
underlings ^nns+nom+++=underlings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^rb++++=all
the ^ati++++=the
little ^ap++++=little
people ^nns++++=people
of ^in++++=of
fur ^nn++++=fur
and ^cc++++=and
feather ^nn++++=feather
take ^vb++++=take
the ^ati++++=the
hint ^nn++++=hint
and ^cc++++=and
slip ^nn++++=slip
home ^nr++++=home
quietly ^rb++++=quietly
by ^in++++=by
back ^jjb+atrb+++=back
streets ^nns++++=streets.
. ^zz++++=EXTRAWORD
In ^rb++++=In
vain ^rb"++++=vain
we ^pp1a+pp1+++=we
scouted ^vbd+++xvbn+=scouted,
, ^zz++++=EXTRAWORD
lurked ^j+++xvbn+=lurked,
, ^zz++++=EXTRAWORD
crept ^j+++xvbn+=crept,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ambuscaded ^jj+++xvbn+=ambuscaded.
. ^zz++++=EXTRAWORD
Everything ^pn++++=Everything
that ^cs+sub+++=that
usually ^rb+down+++=usually
scurried ^vbd+++xvbn+=scurried,
, ^zz++++=EXTRAWORD
hopped ^j+++xvbn+=hopped,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
fluttered ^vbd+++xvbn+=fluttered
the ^ati++++=the
small ^jj+atrb+++=small
society ^nn++++=society
of ^in++++=of
the ^ati++++=the
undergrowth ^nn++++=undergrowth
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
have ^vbi++++=have
engagements ^nns+nom+++=engagements
elsewhere ^rb++++=elsewhere.
. ^zz++++=EXTRAWORD
The ^ati++++=The
horrid ^nn++++=horrid
thought ^vbd+++xvbn+=thought
that ^tht+vcmp+++=that
perhaps ^rb++++=perhaps
they ^pp3a+pp3+++=they
had ^vb+hv+aux++=had
all ^abn++++=all
gone ^vprf+++xvbn+=gone
off ^in+pl+++=off
to ^in++++=to
the ^ati++++=the
circus ^npl++++=circus
occurred ^vbd+++xvbn+=occurred
to ^in++++=to
us ^pp1o+pp1+++=us
simultaneously ^rb+cnj+++=simultaneously,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
humped ^vwbn+++xvbn+=humped
ourselves ^ppls+pp1+++=ourselves
up ^rp++++=up
on ^in++++=on
the ^ati++++=the
fence ^nn++++=fence
and ^cc++++=and
felt ^vbd+vprv++xvbn+=felt
bad ^jj++++=bad.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
the ^ati++++=the
sound ^nn++++=sound
of ^in++++=of
approaching ^xvbg+++xvbg+=approaching
wheels ^nns++++=wheels
failed ^vbd+++xvbn+=failed
to ^to+vcmp+++=to
stir ^vbi++++=stir
any ^dti++++=any
interest ^nn++++=interest
in ^in++++=in
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
you ^pp2+pp2+++=you
are ^vb+ber+aux++=are
bent ^vpsv++agls+xvbnx+=bent
on ^in++++=on
throwing ^xvbg+++xvbg+=throwing
stones ^nns++++=stones
at ^in++++=at
something ^pn++++=something,
, ^zz++++=EXTRAWORD
humanity ^nn+nom+++=humanity
seems ^vbz+seem+++=seems
obtrusive ^jj++++=obtrusive
and ^cc+phrs+++=and
better ^jjr++++=better
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
suddenly ^rb++++=suddenly
we ^pp1a+pp1+++=we
both ^abx++++=both
jumped ^jj+++xvbn+=jumped
off ^in+pl+++=off
the ^ati++++=the
fence ^nn++++=fence
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
faces ^nns++++=faces
clearing ^vwbg+++xvbg+=clearing.
. ^zz++++=EXTRAWORD
For ^in++++=For
our ^pp$+pp1+++=our
educated ^jj+atrb++xvbn+=educated
ear ^nn++++=ear
had ^vbd+hvd+aux++=had
told ^vprf+++xvbnx+=told
us ^pp1o+pp1+++=us
that ^cs+sub+++=that
the ^ati++++=the
approaching ^nn++++=approaching
rattle ^vb++++=rattle
could ^md+pos+++=could
only ^rb+down+splt++=only
proceed ^vb++++=proceed
from ^in++++=from
a ^at++++=a
dog ^nn++++=dog-cart,
- ^zz++++=EXTRAWORD
cart ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
felt ^vbd+vprv++xvbn+=felt
sure ^jj++++=sure
it ^pp3+it+++=it
must ^md+nec+++=must
be ^vb+be+vrb++=be
the ^ati++++=the
funny ^jj+atrb+++=funny
man ^nn++++=man.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
called ^vbd+++xvbn+=called
him ^pp3o+pp3+++=him
the ^ati++++=the
funny ^jj+atrb+++=funny
man ^nn++++=man
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
sad ^jj+pred+++=sad
and ^cc+phrs+++=and
serious ^jj++++=serious,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
said ^vbd+vpub++xvbn+=said
little ^ap++++=little,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
gazed ^vbd+++xvbn+=gazed
right ^jj++++=right
into ^in++++=into
our ^pp$+pp1+++=our
souls ^nns++++=souls,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
made ^vbd+++xvbn+=made
us ^pp1o+pp1+++=us
tell ^vb++++=tell
him ^pp3o+pp3+++=him
just ^rb+emph+++=just
what ^wdt+who+++=what
was ^vbd+bedz+vrb++=was
on ^in++++=on
our ^pp$+pp1+++=our
minds ^nns++++=minds
at ^in++++=at
the ^ati++++=the
time ^nn++++=time,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
came ^vbd+++xvbn+=came
out ^rb+phrv+++=out
with ^in+ppvb+++=with
some ^dti++++=some
magnificently ^rb++++=magnificently
luminous ^jj+atrb+++=luminous
suggestion ^nn+nom+++=suggestion
that ^tht+ncmp+++=that
cleared ^vprf+++xvbn+=cleared
every ^at++++=every
cloud ^nn++++=cloud
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
was ^vbd+bedz+aux++=was
more ^rbr++++=more,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
then ^rn+tm+splt++=then
go ^vb++++=go
off ^rb+phrv+++=off
with ^in+ppvb+++=with
us ^pp1o+pp1+++=us
at ^rb++++=at
once ^rb"+tm+++=once
and ^cc++++=and
play ^nn++++=play
the ^ati++++=the
thing ^nn++++=thing
right ^nn++++=right
out ^rp+pl+++=out
to ^in++++=to
its ^pp$+it+++=its
finish ^nn++++=finish,
, ^zz++++=EXTRAWORD
earnestly ^rb++++=earnestly
and ^cc++++=and
devotedly ^jj++++=devotedly,
, ^zz++++=EXTRAWORD
putting ^vbg+++xvbg+=putting
all ^abn++++=all
other ^ap++++=other
things ^nns++++=things
aside ^rp++++=aside.
. ^zz++++=EXTRAWORD
So ^ql++++=So
we ^pp1a+pp1+++=we
called ^vbd+++xvbn+=called
him ^pp3o+pp3+++=him
the ^ati++++=the
funny ^jj+atrb+++=funny
man ^nn++++=man,
, ^zz++++=EXTRAWORD
meaning ^nvbg+++xvbg+=meaning
only ^rb+down+++=only
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
different ^jj+pred+++=different
from ^in++++=from
those ^dt+dem+++=those
others ^aps++++=others
who ^whp+rel+subj++=who
thought ^vbd+++xvbn+=thought
it ^pp3+it+++=it
incumbent ^nn++++=incumbent
on ^rp++++=on
them ^pp3o+pp3+++=them
to ^to++++=to
play ^vbi++++=play
the ^ati++++=the
painful ^jj++++=painful
mummer ^jjr++++=mummer.
. ^zz++++=EXTRAWORD
The ^ati++++=The
ideal ^nn++++=ideal
as ^in++++=as
opposed ^in"++++=opposed
to ^in++++=to
the ^ati++++=the
real ^jj+atrb+++=real
man ^nn++++=man
was ^vbd+bedz+vrb++=was
what ^wdt+who+++=what
we ^pp1a+pp1+++=we
meant ^vbd+vprv++xvbn+=meant,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
not ^xnot++not++=not
acquainted ^vbd+++xvbn+=acquainted
with ^in++++=with
the ^ati++++=the
phrase ^nn++++=phrase.
. ^zz++++=EXTRAWORD
Those ^dt+dem+++=Those
others ^aps++++=others,
, ^zz++++=EXTRAWORD
with ^in++++=with
their ^pp$+pp3+++=their
laboured ^vbd+++xvbn+=laboured
jests ^nns+++??+=jests
and ^cc++++=and
clumsy ^jj+atrb+++=clumsy
contortions ^nns+nom+++=contortions,
, ^zz++++=EXTRAWORD
doubtless ^rb++++=doubtless
flattered ^vbd+++xvbn+=flattered
themselves ^ppls+pp3+++=themselves
that ^cs+sub+++=that
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
funny ^jj+atrb+++=funny
men ^nns++++=men;
; ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^md"++pmd"++=had
to ^md+nec+++=to
sit ^vb++++=sit
through ^in++++=through
and ^cc++++=and
applaud ^vb++++=applaud
the ^ati++++=the
painful ^jj+atrb+++=painful
performance ^nn+nom+++=performance,
, ^zz++++=EXTRAWORD
knew ^j+++xvbn+=knew
better ^jjr++++=better.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
pulled ^vbd+++xvbnx+=pulled
up ^in+cmpx+++=up
to ^in"++++=to
a ^at++++=a
walk ^nn++++=walk
as ^ql++++=as
soon ^rb+tm+++=soon
as ^ql++++=as
he ^pp3a+pp3+++=he
caught ^vbd+++xvbnx+=caught
sight ^nn++++=sight
of ^in++++=of
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
dog ^nn++++=dog-cart
- ^zz++++=EXTRAWORD
cart ^np++++=EXTRAWORD
crawled ^vprf+++xvbn+=crawled
slowly ^rb++++=slowly
along ^in++++=along
till ^cs+sub+++=till
it ^pp3+it+++=it
stopped ^vbd+++xvbn+=stopped
just ^rb+emph+++=just
opposite ^jj++++=opposite.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
leant ^vbd+++xvbnx+=leant
his ^pp$+pp3+++=his
chin ^nn++++=chin
on ^in++++=on
his ^pp$+pp3+++=his
hand ^nn++++=hand
and ^cc++++=and
regarded ^vbd+++xvbn+=regarded
us ^pp1o+pp1+++=us
long ^jj++++=long
and ^cc++++=and
soulfully ^rb+cnj+++=soulfully,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he
never ^rb++++=never
a ^at++++=a
word ^nn++++=word;
; ^zz++++=EXTRAWORD
while ^cs+sub+++=while
we ^pp1a+pp1+++=we
jigged ^vbd+++xvbn+=jigged
up ^rp++++=up
and ^cc+phrs+++=and
down ^rp++++=down
in ^in++++=in
the ^ati++++=the
dust ^nn++++=dust,
, ^zz++++=EXTRAWORD
grinning ^vbg+++xvbg+=grinning
bashfully ^rb++++=bashfully
but ^cc++++=but
with ^in++++=with
expectation ^nn+nom+++=expectation.
. ^zz++++=EXTRAWORD
For ^in++++=For
you ^pp2+pp2+++=you
never ^rb++++=never
knew ^vbd+vprv++xvbn+=knew
exactly ^rb++++=exactly
what ^wdt+who+++=what
this ^dt+dem+++=this
man ^nn++++=man
might ^md+pos+++=might
say ^vb+vpub+++=say
or ^cc++++=or
do ^vb+do+vrb++=do.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
look ^vb++++=look
bored ^vbd+++xvbn+=bored,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
remarked ^vbd+vpub++xvbnx+=remarked
presently ^rb+tm+++=presently;
; ^zz++++=EXTRAWORD
" ^zz++++="thoroughly
thoroughly ^rb+amp+++=EXTRAWORD
bored ^jj+++xvbn+=bored.
. ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or
else ^rb+cnj+++=else
let ^vb+++xvbn+=let
me ^pp1o+pp1+++=me
see ^vb+vprv+++=see;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
not ^xnot++not++=not
married ^jj+++xvbn+=married,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
asked ^vbd+vsua++xvbnx+=asked
this ^dt+dem+++=this
in ^in++++=in
such ^abl++++=such
sad ^jj+atrb+++=sad
earnestness ^nns+nom+++=earnestness
that ^tht+rel+obj++=that
we ^pp1a+pp1+++=we
hastened ^vbd+++xvbn+=hastened
to ^to++++=to
assure ^vbi++++=assure
him ^pp3o+pp3+++=him
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
