A ^at++++=A
disobeyed ^vbd+++xvbn+=disobeyed
orders ^nns++++=orders,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
a ^at++++=a
very ^ql+amp+++=very
small ^jj+atrb+++=small
chance ^nn++++=chance
of ^in++++=of
escaping ^xvbg+++xvbg+=escaping
something ^pn++++=something
extremely ^rb+amp+++=extremely
serious ^jj++++=serious.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
now ^rn+tm+++=now!
! ^zz++++=EXTRAWORD
Good ^jj+atrb+++=Good
God ^nn++++=God!
! ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
I ^pp1a+pp1+++=I
report ^vb++++=report
these ^dt+dem+++=these
men ^nns++++=men,
, ^zz++++=EXTRAWORD
the ^ati++++=the
captain ^nn++++=captain
will ^md+prd+++=will
look ^vb++++=look
over ^in++++=over
a ^at++++=a
lot ^nn++++=lot
of ^in++++=of
beastly ^jj+atrb+++=beastly
orderly ^jj+atrb+++=orderly
sheets ^nns++++=sheets
and ^cc++++=and
say-- ^nn+++??+=say--'Haw,
'haw, ^nn+++??+=EXTRAWORD
eh ^uh++++=eh,
, ^zz++++=EXTRAWORD
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
Sergeant ^nn+nom+++=Sergeant
Morton ^np++++=Morton,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
men ^nns++++=men
seem ^vb+seem+++=seem
to ^to+vcmp+++=to
have ^vbi++++=have
very ^ql+amp+++=very
good ^jj+atrb+++=good
records ^nns++++=records;
; ^zz++++=EXTRAWORD
very ^ql+amp+++=very
good ^jj+atrb+++=good
records ^nns++++=records,
, ^zz++++=EXTRAWORD
indeed ^rb++++=indeed.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+vrb++=be
too ^ql++++=too
hard ^jj++++=hard
on ^rp++++=on
them ^pp3o+pp3+++=them;
; ^zz++++=EXTRAWORD
no ^at++++=no,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
too ^ql++++=too
hard. ^vb+++??+=hard.'"
'" ^vb+++??+=EXTRAWORD
Continued ^vbd+++xvbn+=Continued
the ^ati++++=the
sergeant ^nn+nom+++=sergeant:
: ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
tell ^vb++++=tell
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
Flagler ^np+++??+=Flagler,
, ^zz++++=EXTRAWORD
the ^ati++++=the
army ^nn++++=army
is ^vbz+bez+vrb++=is
no ^at++++=no
place ^nn++++=place
for ^in++++=for
a ^at++++=a
decent ^jj+atrb+++=decent
man ^nn++++=man."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Flagler ^np+++??+=Flagler,
, ^zz++++=EXTRAWORD
the ^ati++++=the
corporal ^nn+nom+++=corporal,
, ^zz++++=EXTRAWORD
answered ^j+++xvbn+=answered
with ^in++++=with
a ^at++++=a
sincerity ^nn+nom+++=sincerity
of ^in++++=of
appreciation ^nn+nom+++=appreciation
which ^whp+rel+obj++=which
with ^in++++=with
him ^pp3o+pp3+++=him
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
a ^at++++=a
science ^nn+nom+++=science.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
think ^vb+vprv+tht0++=think
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
right ^jj+pred+++=right,
, ^zz++++=EXTRAWORD
sergeant ^nn+nom+++=sergeant,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
answered ^vbd+vpub++xvbnx+=answered.
. ^zz++++=EXTRAWORD
Behind ^in+pl+++=Behind
them ^pp3o+pp3+++=them
the ^ati++++=the
privates ^nns+nom+++=privates
mumbled ^vbd+++xvbn+=mumbled
discreetly ^rb++++=discreetly.
. ^zz++++=EXTRAWORD
" ^zz++++="Damn
damn ^vb++++=EXTRAWORD
this ^dt+dem+++=this
sergeant ^nn+nom+++=sergeant
of ^in++++=of
ours ^pp$$++++=ours.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
thinks ^vbz+vprv+tht0++=thinks
we ^pp1a+pp1+++=we
are ^vb+ber+aux++=are
made ^vpsv++agls+xvbnx+=made
of ^in++++=of
wood ^nn++++=wood.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
see ^vb+vprv+++=see
any ^dti++++=any
reason ^nn++++=reason
for ^in++++=for
all ^abn++++=all
this ^dt+dem+++=this
strictness ^nns+nom+++=strictness
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
on ^in++++=on
active ^jj+atrb+++=active
service ^nn++++=service.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
