A ^rb++++=A
. ^zz++++=EXTRAWORD
From ^in++++=From
there ^rn+pl+++=there
to ^in++++=to
the ^ati++++=the
long ^rb++++=long
ridge ^nn++++=ridge
of ^in++++=of
the ^ati++++=the
mountain ^npl++++=mountain
extended ^vbd+++xvbn+=extended
upwards ^rb++++=upwards
the ^ati++++=the
vast ^jj+atrb+++=vast
smooth ^jj+atrb+++=smooth
slope ^nn++++=slope
of ^in++++=of
virgin ^jjb+atrb+++=virgin
snow ^nn++++=snow,
, ^zz++++=EXTRAWORD
pure ^jj++++=pure
and ^cc+phrs+++=and
white ^jj++++=white,
, ^zz++++=EXTRAWORD
sparkling ^jj++++=sparkling
in ^in++++=in
the ^ati++++=the
strong ^jj+atrb+++=strong
sunlight ^nn++++=sunlight
as ^cs+sub+++=as
if ^cs+cnd+++=if
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
sprinkled ^vpsv++agls+xvbnx+=sprinkled
with ^in++++=with
diamond ^nn++++=diamond
dust ^nn++++=dust.
. ^zz++++=EXTRAWORD
A ^at++++=A
black ^jj+atrb+++=black
speck ^nn++++=speck
against ^in++++=against
this ^dt+dem+++=this
tremendous ^jj+atrb+++=tremendous
field ^nn++++=field
of ^in++++=of
white ^jj++++=white,
, ^zz++++=EXTRAWORD
the ^ati++++=the
giant ^nn++++=giant
struggled ^vbd+++xvbn+=struggled
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
could ^md+pos+++=could
see ^vb+vprv+++=see
by ^in++++=by
the ^ati++++=the
glass ^nn++++=glass
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
sunk ^vbd+++xvbnx+=sunk
to ^in++++=to
the ^ati++++=the
knee ^nn++++=knee
in ^in++++=in
the ^ati++++=the
softening ^jj+atrb+++=softening
snow ^nn++++=snow.
. ^zz++++=EXTRAWORD
" ^zz++++="Now,"
now ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
officer ^nn++++=officer,
, ^zz++++=EXTRAWORD
" ^zz++++="he
he ^pp3a+pp3+++=EXTRAWORD
is ^vbz+bez+aux++=is
beginning ^vbg+++xvbgx+=beginning
to ^to++++=to
understand ^vbi+vprv+tht0++=understand
his ^pp$+pp3+++=his
situation ^nn+nom+++=situation."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Through ^in++++=Through
the ^ati++++=the
glass ^nn++++=glass
they ^pp3a+pp3+++=they
saw ^vbd+vprv++xvbnx+=saw
Samson ^np++++=Samson
pause ^nn++++=pause.
. ^zz++++=EXTRAWORD
From ^in++++=From
below ^in+pl+++=below
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
as ^cs+sub+++=as
if ^cs+cnd+++=if
the ^ati++++=the
snow ^nn++++=snow
were ^vbd+bed+aux++=were
as ^ql++++=as
smooth ^vb++++=smooth
as ^ql++++=as
a ^at++++=a
sloping ^jj+atrb++xvbg+=sloping
roof ^nn++++=roof,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
even ^rb++++=even
to ^in++++=to
the ^ati++++=the
naked ^jj+atrb+++=naked
eye ^nn++++=eye
a ^at++++=a
shadow ^nn++++=shadow
crossed ^vbd+++xvbn+=crossed
it ^pp3+it+++=it
near ^in+pl+++=near
the ^ati++++=the
top ^nn++++=top.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
shadow ^nn++++=shadow
was ^vbd+bedz+vrb++=was
a ^at++++=a
tremendous ^jj+atrb+++=tremendous
ridge ^nn++++=ridge
of ^in++++=of
overhanging ^jj+atrb+++=overhanging
snow ^np++++=snow
more ^rbr++++=more
than ^in++++=than
a ^at++++=a
hundred ^cd++++=hundred
feet ^nns++++=feet
deep ^jj++++=deep;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Samson ^np++++=Samson
now ^rn+tm+++=now
paused ^vbd+++xvbn+=paused
as ^ql++++=as
he ^pp3a+pp3+++=he
realised ^vbd+vprv++xvbnx+=realised
that ^tht+vcmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
insurmountable ^jj+pred+++=insurmountable.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
down ^rp++++=down
and ^cc+phrs+++=and
undoubtedly ^rb++++=undoubtedly
saw ^vbd+vprv++xvbn+=saw
a ^at++++=a
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
regiment ^nn+nom+++=regiment
waiting ^vwbg+++xvbg+=waiting
for ^in++++=for
him ^pp3o+pp3+++=him
below ^in+strn+++=below.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
turned ^vbd+++xvbnx+=turned
and ^cc+phrs+++=and
plodded ^vbd+++xvbn+=plodded
slowly ^rb++++=slowly
under ^in++++=under
the ^ati++++=the
overhanging ^jj+atrb+++=overhanging
ridge ^nn++++=ridge
until ^cs+sub+++=until
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
to ^in++++=to
the ^ati++++=the
precipice ^nn++++=precipice
at ^in++++=at
his ^pp$+pp3+++=his
left ^nn+++xvbn+=left.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
thousand ^cd++++=thousand
feet ^nns++++=feet
sheer ^jjb++++=sheer
down ^rp++++=down.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
retraced ^vbd+++xvbnx+=retraced
his ^pp$+pp3+++=his
steps ^nns++++=steps
and ^cc++++=and
walked ^vpsv++agls+xvbn+=walked
to ^in++++=to
the ^ati++++=the
similar ^jj+atrb+++=similar
precipice ^nn++++=precipice
at ^in++++=at
the ^ati++++=the
right ^nn++++=right.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
again ^rb+tm+++=again
to ^in++++=to
the ^ati++++=the
middle ^nn++++=middle
of ^in++++=of
the ^ati++++=the
great ^jj+atrb+++=great
T ^zz++++=T
which ^whp+rel+obj++=which
his ^pp$+pp3+++=his
footmarks ^nns+++??+=footmarks
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
on ^in++++=on
that ^cs+sub+++=that
virgin ^jjb+atrb+++=virgin
slope ^nn++++=slope.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
sat ^vbd+++xvbnx+=sat
down ^rb+phrv+++=down
in ^in++++=in
the ^ati++++=the
snow ^nn++++=snow.
. ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
will ^md+prd+++=will
ever ^rb++splt++=ever
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
a ^at++++=a
moment ^nn++++=moment
of ^in++++=of
despair ^nn++++=despair
the ^ati++++=the
Breton ^nn++++=Breton
must ^md+nec+++=must
have ^vb+hv+aux++=have
passed ^vprf+++xvbnx+=passed
through ^in++++=through
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
realised ^vbd+vprv++xvbnx+=realised
the ^ati++++=the
hopelessness ^nns+nom+++=hopelessness
of ^in++++=of
his ^pp$+pp3+++=his
toil ^nn++++=toil.
. ^zz++++=EXTRAWORD
The ^ati++++=The
officer ^nn++++=officer
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
gazing ^vbg+++xvbgx+=gazing
through ^in++++=through
the ^ati++++=the
glass ^nn++++=glass
at ^in++++=at
him ^pp3o+pp3+++=him
dropped ^vbd+++xvbn+=dropped
his ^pp$+pp3+++=his
hand ^nn++++=hand
to ^in++++=to
his ^pp$+pp3+++=his
side ^nn++++=side
and ^cc++++=and
laughed ^vbd+++xvbn+=laughed.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
nature ^nn++++=nature
of ^in++++=of
the ^ati++++=the
situation ^nn+nom+++=situation,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="has
has ^vbz+hvz+aux++=EXTRAWORD
at ^rb++splt++=at
last ^rb"++++=last
dawned ^vbd+++xvbn+=dawned
upon ^in++++=upon
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
took ^vbd+++xvbn+=took
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time
to ^to++++=to
get ^vbi++++=get
an ^at++++=an
appreciation ^nn+nom+++=appreciation
of ^in++++=of
it ^pp3+it+++=it
through ^in++++=through
his ^pp$+pp3+++=his
thick ^jj+atrb+++=thick
Breton ^jj+atrb+++=Breton
skull ^nn++++=skull."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Let
let ^vb+++xvbn+=EXTRAWORD
me ^pp1o+pp1+++=me
have ^vb+hv+vrb++=have
the ^ati++++=the
glass ^nn++++=glass
a ^at++++=a
moment ^nn++++=moment,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
another ^ppls++++=another.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
has ^vbz+hvz+aux++=has
made ^vprf+++xvbnx+=made
up ^rp++++=up
his ^pp$+pp3+++=his
mind ^nn++++=mind
about ^in++++=about
something ^pn++++=something."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
officer ^nn++++=officer
did ^vbd+dod+aux++=did
not ^xnot++not++=not
realise ^vb+vprv+++=realise
the ^ati++++=the
full ^jj+atrb+++=full
significance ^nn+nom+++=significance
of ^in++++=of
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
through ^rb+phrv+++=through
the ^ati++++=the
glass ^nn++++=glass.
. ^zz++++=EXTRAWORD
In ^in++++=In
spite ^in"++++=spite
of ^in"++++=of
their ^pp$+pp3+++=their
conceit ^nn++++=conceit,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
skulls ^nns++++=skulls
were ^vbd+bed+vrb++=were
thicker ^jjr+pred+++=thicker
than ^cs+sub+++=than
that ^dt+dem+++=that
of ^in++++=of
the ^ati++++=the
persecuted ^jj+atrb++xvbn+=persecuted
Breton ^jj+atrb+++=Breton
fisherman ^nn+nom+++=fisherman.
. ^zz++++=EXTRAWORD
Samson ^np++++=Samson
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment
turned ^vbd+++xvbn+=turned
his ^pp$+pp3+++=his
face ^nn++++=face
to ^in++++=to
the ^ati++++=the
north ^np+pl+++=north
and ^cc++++=and
raised ^vbd+++xvbn+=raised
his ^pp$+pp3+++=his
face ^nn++++=face
towards ^in++++=towards
heaven ^nn++++=heaven.
. ^zz++++=EXTRAWORD
Whether ^cs+who+++=Whether
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
an ^at++++=an
appeal ^nn++++=appeal
to ^in++++=to
the ^ati++++=the
saints ^nns++++=saints
he ^pp3a+pp3+++=he
believed ^vbd+vprv++xvbnx+=believed
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
an ^at++++=an
invocation ^nn+nom+++=invocation
to ^in++++=to
the ^ati++++=the
distant ^jj+atrb+++=distant
ocean ^nn++++=ocean
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
never ^rb++++=never
more ^ql++++=more
to ^to++++=to
look ^vbi++++=look
upon ^in+strn+++=upon,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
can ^md+pos+++=can
tell ^vb++++=tell?
? ^zz++++=EXTRAWORD
After ^cs+sub+++=After
a ^at++++=a
moment ^nn++++=moment's
's ^$++++=EXTRAWORD
pause ^nn++++=pause
he ^pp3a+pp3+++=he
flung ^vbd+++xvbnx+=flung
himself ^ppl+pp3+++=himself
headlong ^jjb++++=headlong
down ^in++++=down
the ^ati++++=the
slope ^nn++++=slope
towards ^in++++=towards
the ^ati++++=the
section ^nn+nom+++=section
of ^in++++=of
the ^ati++++=the
regiment ^nn+nom+++=regiment
which ^whp+rel+subj++=which
lounged ^vbd+++xvbn+=lounged
on ^in++++=on
the ^ati++++=the
bank ^nn++++=bank
of ^in++++=of
the ^ati++++=the
river ^nn++++=river.
. ^zz++++=EXTRAWORD
Over ^in++++=Over
and ^cc++++=and
over ^rb++++=over
he ^pp3a+pp3+++=he
rolled ^vbd+++xvbnx+=rolled,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
in ^in++++=in
place ^in"++++=place
of ^in"++++=of
the ^ati++++=the
black ^jj+atrb+++=black
figure ^nn++++=figure
there ^ex+pex+++=there
came ^vbd+++xvbn+=came
downwards ^rb++++=downwards
a ^at++++=a
white ^jj+atrb+++=white
ball ^nn++++=ball,
, ^zz++++=EXTRAWORD
gathering ^vbg+++xvbg+=gathering
bulk ^nn++++=bulk
at ^in++++=at
every ^at++++=every
bound ^nn++++=bound.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
several ^ap++++=several
seconds ^nns++++=seconds
before ^cs+sub+++=before
the ^ati++++=the
significance ^nn+nom+++=significance
of ^in++++=of
what ^wdt+who+++=what
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
gazing ^vbg+++xvbgx+=gazing
at ^in++++=at
burst ^nn++++=burst
upon ^in++++=upon
officers ^nns+nom+++=officers
and ^cc++++=and
men ^nns++++=men.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
came ^vbd+++xvbn+=came
upon ^in+ppvb+++=upon
them ^pp3o+pp3+++=them
simultaneously ^rb+cnj+++=simultaneously,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
it ^pp3+it+++=it
a ^at++++=a
wild ^jj+atrb+++=wild
panic ^nn++++=panic
of ^in++++=of
fear ^nn++++=fear.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
still ^rb+atrb+++=still
air ^nn++++=air
a ^at++++=a
low ^jj+atrb+++=low
sullen ^jj+atrb+++=sullen
roar ^nn++++=roar
arose ^vbd+++xvbn+=arose.
. ^zz++++=EXTRAWORD
" ^zz++++="An
an ^at++++=EXTRAWORD
avalanche ^nn++++=avalanche!
! ^zz++++=EXTRAWORD
An ^at++++=An
avalanche! ^nn+++??+=avalanche!!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
cried ^vbd+++xvbnx+=cried.
. ^zz++++=EXTRAWORD
The ^ati++++=The
men ^nns++++=men
and ^cc++++=and
officers ^nns+nom+++=officers
were ^vbd+bed+aux++=were
hemmed ^vpsv++agls+xvbnx+=hemmed
in ^in++++=in
by ^in++++=by
the ^ati++++=the
boiling ^jj+atrb++xvbg+=boiling
torrent ^nn++++=torrent.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
of ^in++++=of
them ^pp3o+pp3+++=them
plunged ^vbd+++xvbn+=plunged
in ^in++++=in
to ^to++++=to
get ^vbi++++=get
to ^to+vcmp+++=to
the ^ati++++=the
other ^ap++++=other
side ^nn++++=side,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
moment ^nn++++=moment
the ^ati++++=the
water ^nn++++=water
laid ^vbd+++xvbn+=laid
hold ^nn++++=hold
of ^in++++=of
them ^pp3o+pp3+++=them
their ^pp$+pp3+++=their
heels ^nns++++=heels
were ^vbd+bed+aux++=were
whirled ^vpsv++agls+xvbnx+=whirled
into ^in++++=into
the ^ati++++=the
air ^nn++++=air,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
disappeared ^vbd+seem++xvbnx+=disappeared
helplessly ^rb++++=helplessly
down ^in++++=down
the ^ati++++=the
rapids ^nns+++??+=rapids.
. ^zz++++=EXTRAWORD
Samson ^np++++=Samson
was ^vbd+bedz+vrb++=was
hours ^nns++++=hours
going ^vwbg+++xvbg+=going
up ^rp++++=up
the ^ati++++=the
mountain ^nn++++=mountain,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
only ^rb+down+++=only
seconds ^nns++++=seconds
coming ^vwbg+++xvbg+=coming
down ^rp++++=down.
. ^zz++++=EXTRAWORD
Like ^in++++=Like
an ^at++++=an
overwhelming ^jj+atrb+++=overwhelming
wave ^nn++++=wave
came ^vbd+++xvbn+=came
the ^ati++++=the
white ^jj+atrb+++=white
crest ^nn++++=crest
of ^in++++=of
the ^ati++++=the
avalanche ^nn++++=avalanche,
, ^zz++++=EXTRAWORD
sweeping ^jj+atrb++xvbg+=sweeping
officers ^nns+nom+++=officers
and ^cc++++=and
men ^nns++++=men
into ^in++++=into
and ^cc++++=and
over ^in++++=over
the ^ati++++=the
stream ^nn++++=stream
and ^cc++++=and
far ^rb+pl+++=far
across ^in+pl+++=across
the ^ati++++=the
plateau ^nn++++=plateau.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
one ^cd1++++=one
mingled ^jj+++xvbn+=mingled
shriek ^vb++++=shriek
which ^whp+who+++=which
made ^vbd+++xvbn+=made
itself ^ppl++++=itself
heard ^vbd+vprv++xvbn+=heard
through ^in++++=through
the ^ati++++=the
sullen ^jj+atrb+++=sullen
roar ^nn++++=roar
of ^in++++=of
the ^ati++++=the
snow ^nn++++=snow,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
all ^rb++++=all
was ^vbd+bedz+aux++=was
silence ^nn+nom+++=silence.
. ^zz++++=EXTRAWORD
The ^ati++++=The
hemmed ^jj+++xvbn+=hemmed-in
- ^zz++++=EXTRAWORD
in ^in++++=EXTRAWORD
waters ^nns++++=waters
rose ^vbd+++xvbn+=rose
high ^jj++++=high
and ^cc++++=and
soon ^rb+tm+++=soon
forced ^vbd+++xvbn+=forced
its ^pp$+it+++=its
way ^nn++++=way
through ^in++++=through
the ^ati++++=the
white ^jj+atrb+++=white
barrier ^nn++++=barrier.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
remainder ^nn+nom+++=remainder
of ^in++++=of
the ^ati++++=the
regiment ^nn+nom+++=regiment
dug ^vwbn+++xvbn+=dug
out ^rp+pl+++=out
from ^in++++=from
the ^ati++++=the
debris ^nn++++=debris
the ^ati++++=the
bodies ^nns++++=bodies
of ^in++++=of
their ^pp$+pp3+++=their
comrades ^npt++++=comrades
they ^pp3a+pp3+++=they
found ^vbd+vprv+tht0+xvbnx+=found
a ^at++++=a
fixed ^nn++++=fixed
look ^vb++++=look
of ^in++++=of
the ^ati++++=the
wildest ^jjt+atrb+++=wildest
terror ^nn++++=terror
on ^in++++=on
every ^at++++=every
face ^nn++++=face
except ^in++++=except
one ^pn++++=one.
. ^zz++++=EXTRAWORD
Samson ^np++++=Samson
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
without ^in++++=without
an ^at++++=an
unbroken ^jj+atrb+++=unbroken
bone ^nn++++=bone
in ^in++++=in
his ^pp$+pp3+++=his
body ^nn++++=body,
, ^zz++++=EXTRAWORD
slept ^j+++xvbn+=slept
as ^ql++++=as
calmly ^rb++++=calmly
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
rested ^vbd+++xvbnx+=rested
under ^in++++=under
the ^ati++++=the
blue ^jj+atrb+++=blue
waters ^nns++++=waters
on ^in++++=on
the ^ati++++=the
coast ^nn++++=coast
of ^in++++=of
brittany ^np++++=Brittany.
. ^zz++++=EXTRAWORD
