prompt,source,filename,f1,f2,f3,f4
human,human,4000_story_0500.txt,24.478956045,8.9699549733,-0.466702806,-2.464489083
llm_free,ai,4000_story_0500_llm_free.txt,-15.21968172,-12.21565558,-0.198875667,-0.955915672
human,human,4000_story_0501.txt,12.880992657,15.612133139,-7.462068252,0.6595110046
llm_free,ai,4000_story_0501_llm_free.txt,-14.02723648,-8.583666352,6.9388241624,0.007559191
human,human,4000_story_0503.txt,12.135754753,8.8389712038,-9.18520492,2.340303103
llm_free,ai,4000_story_0503_llm_free.txt,-10.01743683,-11.85836073,7.5346871954,3.0169177983
human,human,4000_story_0511.txt,13.968025519,19.932677845,7.5973339555,1.6556478964
llm_free,ai,4000_story_0511_llm_free.txt,-13.22093715,-9.198231597,2.0697935186,0.8103436467
human,human,4000_story_0514.txt,16.176915786,8.5919319352,4.2230158166,-0.287815525
llm_free,ai,4000_story_0514_llm_free.txt,-12.78013517,-7.855326548,3.7898965952,-1.499733712
human,human,4000_story_0520.txt,9.5323184153,13.098302741,-0.17522856,1.4848816792
llm_free,ai,4000_story_0520_llm_free.txt,-6.993789563,-8.932551402,16.550290039,-0.63931599
human,human,4000_story_0522.txt,9.6120920668,12.302646568,2.2425362344,2.0600540456
llm_free,ai,4000_story_0522_llm_free.txt,-17.91853705,-4.538303718,1.0061909225,0.9834288235
human,human,4000_story_0529.txt,11.021905305,15.496334276,-9.497110121,0.6624940793
llm_free,ai,4000_story_0529_llm_free.txt,-9.675941464,-8.294406343,2.9295426931,0.5852392832
human,human,4000_story_0531.txt,12.768274561,21.115838787,-2.311272218,-1.040117345
llm_free,ai,4000_story_0531_llm_free.txt,-9.616921118,-11.41250014,1.9977876649,-3.749018086
human,human,4000_story_0532.txt,18.536803725,3.7188141162,-1.635665805,0.4000783655
llm_free,ai,4000_story_0532_llm_free.txt,-19.17937356,-8.609988431,-2.798304011,-2.139624727
human,human,4000_story_0537.txt,23.644164403,0.0203057623,-1.064865033,0.3705411663
llm_free,ai,4000_story_0537_llm_free.txt,-10.70942217,-5.925372475,5.8387640688,-0.888815317
human,human,4000_story_0542.txt,16.055439671,0.2543495638,2.2959991045,-1.599226953
llm_free,ai,4000_story_0542_llm_free.txt,-11.29383275,-15.57028453,2.0158179049,4.5078113098
human,human,4000_story_0544.txt,10.043770382,-0.638650626,-4.160897425,0.5907011576
llm_free,ai,4000_story_0544_llm_free.txt,-11.30347905,-5.787462791,2.1108353441,1.0267221155
human,human,4000_story_0548.txt,3.600990582,3.1345118533,-4.808007975,2.286326344
llm_free,ai,4000_story_0548_llm_free.txt,-14.92427473,-3.411693765,7.59377209,1.8097824761
human,human,4000_story_0549.txt,9.4220282989,18.669703352,-1.320571484,0.5599144234
llm_free,ai,4000_story_0549_llm_free.txt,-10.94490151,-13.00845953,7.4063099585,3.8774437544
human,human,4000_story_0550.txt,12.270871094,-3.364272552,3.388117591,3.197725456
llm_free,ai,4000_story_0550_llm_free.txt,-13.49470382,-9.446683419,4.1248302701,1.4491199155
human,human,4000_story_0552.txt,18.843039211,2.8435332152,2.6260451629,5.331375891
llm_free,ai,4000_story_0552_llm_free.txt,-15.97898631,-8.640460177,0.1888796881,-0.887216197
human,human,4000_story_0554.txt,-1.976029674,6.9173967918,-4.25416271,-0.049951409
llm_free,ai,4000_story_0554_llm_free.txt,-8.721514714,-8.348957492,16.136172837,-0.582484549
